date,vix,vix3m,vx1,vx2,vx3,vrp_vix_vx1,term_vix3m_vix,slope_vx2_vx1
2020-01-02,12.47,15.19,14.08,16.13,16.53,-1.6099999999999994,2.719999999999999,2.049999999999999
2020-01-03,14.02,16.01,15.03,16.73,16.88,-1.0099999999999998,1.990000000000002,1.700000000000001
2020-01-06,13.85,15.92,14.88,16.68,16.88,-1.0300000000000011,2.0700000000000003,1.799999999999999
2020-01-07,13.79,15.86,14.68,16.53,16.83,-0.8900000000000006,2.0700000000000003,1.8500000000000014
2020-01-08,13.45,15.4,14.18,16.13,16.43,-0.7300000000000004,1.950000000000001,1.9499999999999993
2020-01-09,12.54,14.95,13.63,15.78,16.13,-1.0900000000000016,2.41,2.1499999999999986
2020-01-10,12.56,14.95,13.58,15.73,16.08,-1.0199999999999996,2.389999999999999,2.1500000000000004
2020-01-13,12.32,14.64,13.18,15.38,15.78,-0.8599999999999994,2.3200000000000003,2.200000000000001
2020-01-14,12.39,14.64,13.08,15.23,15.68,-0.6899999999999995,2.25,2.1500000000000004
2020-01-15,12.42,14.63,12.93,15.18,15.58,-0.5099999999999998,2.210000000000001,2.25
2020-01-16,12.32,14.45,12.58,14.93,15.38,-0.2599999999999998,2.129999999999999,2.3499999999999996
2020-01-17,12.1,14.41,12.53,14.93,15.38,-0.4299999999999997,2.3100000000000005,2.4000000000000004
2020-01-20,12.1,,,,,,,
2020-01-21,12.85,14.87,12.93,15.08,15.53,-0.08000000000000007,2.0199999999999996,2.1500000000000004
2020-01-22,12.91,14.98,15.18,15.73,16.28,-2.2699999999999996,2.0700000000000003,0.5500000000000007
2020-01-23,12.98,14.99,15.03,15.68,16.28,-2.049999999999999,2.01,0.6500000000000004
2020-01-24,14.56,16.07,16.03,16.23,16.68,-1.4700000000000006,1.5099999999999998,0.1999999999999993
2020-01-27,18.23,18.16,17.78,17.33,17.53,0.4499999999999993,-0.07000000000000028,-0.45000000000000284
2020-01-28,16.28,17.03,16.68,16.83,17.08,-0.3999999999999986,0.75,0.14999999999999858
