date,baseline,variant
2020-01-02,1.0,1.0
2020-01-03,1.0,1.0
2020-01-05,1.0,1.0
2020-01-06,1.0,1.0
2020-01-07,1.0,1.0
2020-01-08,1.0,1.0
2020-01-09,1.0,1.0
2020-01-10,1.0,1.0
2020-01-12,1.0,1.0
2020-01-13,1.0,1.0
2020-01-14,1.0,1.0
2020-01-15,1.0,1.0
2020-01-16,1.0,1.0
2020-01-17,1.0,1.0
2020-01-19,1.0,1.0
2020-01-20,1.0,1.0
2020-01-21,1.0,1.0
2020-01-22,1.0,1.0
2020-01-23,1.0,1.0
2020-01-24,1.0,1.0
2020-01-26,1.0,1.0
2020-01-27,1.0,1.0
2020-01-28,1.0,1.0
2020-01-29,1.0,1.0
2020-01-30,1.0,1.0
2020-01-31,1.0,1.0
2020-02-02,1.0,1.0
2020-02-03,1.0,1.0
2020-02-04,1.0,1.0
2020-02-05,1.0,1.0
2020-02-06,1.0,1.0
2020-02-07,1.0,1.0
2020-02-09,1.0,1.0
2020-02-10,1.0,1.0
2020-02-11,1.0,1.0
2020-02-12,1.0,1.0
2020-02-13,1.0,1.0
2020-02-14,1.0,1.0
2020-02-16,1.0,1.0
2020-02-17,1.0,1.0
2020-02-18,1.0,1.0
2020-02-19,1.0,1.0
2020-02-20,1.0,1.0
2020-02-21,1.0,1.0
2020-02-23,1.0,1.0
2020-02-24,1.0,1.0
2020-02-25,1.0,1.0
2020-02-26,1.0,1.0
2020-02-27,1.0,1.0
2020-02-28,1.0,1.0
2020-03-01,1.0,1.0
2020-03-02,1.0,1.0
2020-03-03,1.0,1.0
2020-03-04,1.0,1.0
2020-03-05,1.0,1.0
2020-03-06,1.0,1.0
2020-03-08,1.0,1.0
2020-03-09,1.0,1.0
2020-03-10,1.0,1.0
2020-03-11,1.0,1.0
2020-03-12,1.0,1.0
2020-03-13,1.0,1.0
2020-03-15,1.0,1.0
2020-03-16,1.0,1.0
2020-03-17,1.0,1.0
2020-03-18,1.0,1.0
2020-03-19,1.0,1.0
2020-03-20,0.9775970080191208,0.9787171576181647
2020-03-22,0.9555390294012431,0.9577380671947355
2020-03-23,0.9596226851727873,0.9616264682355273
2020-03-24,0.9805281193251946,0.9815281005806666
2020-03-25,0.9800302032531718,0.9810545979075158
2020-03-26,0.9925383695310361,0.9929497765435201
2020-03-27,0.9946170354988704,0.9949253277393721
2020-03-29,0.9929283276712538,0.9932360964786139
2020-03-30,0.998412977787356,0.9984481291138521
2020-03-31,0.9872922352574354,0.9878830517567196
2020-04-01,0.9803513066119914,0.9812852236253417
2020-04-02,0.9774628458700124,0.9785385718539727
2020-04-03,0.9694854956243909,0.9709517487823477
2020-04-05,0.9738590582141082,0.9753319259629873
2020-04-06,0.9852904425973701,0.9862081655484426
2020-04-07,0.9943605986005492,0.9948328395025259
2020-04-08,1.0002355484116405,1.0004166924429905
2020-04-09,1.0057738625646893,1.0056790437348702
2020-04-10,1.0082956315836602,1.0082005750153231
2020-04-12,1.0079258363672978,1.0078308146612205
2020-04-13,1.012778244550522,1.0124401678498376
2020-04-14,1.020319940851302,1.0196023877081655
2020-04-15,1.0045720014606891,1.004652366481277
2020-04-16,1.0082875429401883,1.008182413265355
2020-04-17,1.0105786449888108,1.0103587332726396
2020-04-19,1.0180949988033092,1.0178734514556362
2020-04-20,1.0092172779879385,1.0094414519652926
2020-04-21,0.9886258080532979,0.9898752103103284
2020-04-22,0.9915940007167103,0.992698556916651
2020-04-23,0.9948686683678312,0.9958129565165221
2020-04-24,1.0008128229681064,1.0014652632349479
2020-04-26,0.9996581994428441,1.0003676558104415
2020-04-27,1.000801598428519,1.0014546557424318
2020-04-28,1.0012592725894365,1.0018897299109626
2020-04-29,1.0147791284994667,1.0147416803488838
2020-04-30,1.0242439745452476,1.023732952277381
2020-05-01,1.0188051226490715,1.0185686208830111
2020-05-03,1.0127356594393988,1.0128039693300657
2020-05-04,1.0227205510271675,1.0222902561534895
2020-05-05,1.030945957142737,1.0301011042787045
2020-05-06,1.0258106034432477,1.0252265162306573
2020-05-07,1.0224159151357721,1.0220033985979229
2020-05-08,1.0359631525241288,1.0348680814781193
2020-05-10,1.0353499815916578,1.0342555587016495
