date,regime
2020-05-28,NORMAL
2020-05-29,NORMAL
2020-05-31,NORMAL
2020-06-01,NORMAL
2020-06-02,NORMAL
2020-06-03,NORMAL
2020-06-04,NORMAL
2020-06-05,NORMAL
2020-06-07,NORMAL
2020-06-08,NORMAL
2020-06-09,NORMAL
2020-06-10,NORMAL
2020-06-11,NORMAL
2020-06-12,NORMAL
2020-06-14,NORMAL
2020-06-15,NORMAL
2020-06-16,NORMAL
2020-06-17,NORMAL
2020-06-18,NORMAL
2020-06-19,NORMAL
2020-06-21,NORMAL
2020-06-22,NORMAL
2020-06-23,NORMAL
2020-06-24,NORMAL
2020-06-25,NORMAL
2020-06-26,NORMAL
2020-06-28,NORMAL
2020-06-29,NORMAL
2020-06-30,NORMAL
2020-07-01,NORMAL
2020-07-02,NORMAL
2020-07-03,NORMAL
2020-07-05,NORMAL
2020-07-06,NORMAL
2020-07-07,NORMAL
2020-07-08,NORMAL
2020-07-09,NORMAL
2020-07-10,NORMAL
2020-07-12,NORMAL
2020-07-13,NORMAL
2020-07-14,NORMAL
2020-07-15,NORMAL
2020-07-16,NORMAL
2020-07-17,NORMAL
2020-07-19,NORMAL
2020-07-20,NORMAL
2020-07-21,NORMAL
2020-07-22,NORMAL
2020-07-23,NORMAL
2020-07-24,NORMAL
2020-07-26,NORMAL
2020-07-27,NORMAL
2020-07-28,NORMAL
2020-07-29,NORMAL
2020-07-30,NORMAL
2020-07-31,NORMAL
2020-08-02,NORMAL
2020-08-03,NORMAL
2020-08-04,NORMAL
2020-08-05,NORMAL
2020-08-06,NORMAL
2020-08-07,NORMAL
2020-08-09,NORMAL
2020-08-10,NORMAL
2020-08-11,NORMAL
2020-08-12,NORMAL
2020-08-13,NORMAL
2020-08-14,NORMAL
2020-08-16,NORMAL
2020-08-17,NORMAL
2020-08-18,NORMAL
2020-08-19,ELEVATED
2020-08-20,ELEVATED
2020-08-21,ELEVATED
2020-08-23,ELEVATED
2020-08-24,ELEVATED
2020-08-25,ELEVATED
2020-08-26,ELEVATED
2020-08-27,ELEVATED
2020-08-28,ELEVATED
2020-08-30,ELEVATED
2020-08-31,ELEVATED
2020-09-01,ELEVATED
2020-09-02,ELEVATED
2020-09-03,NORMAL
2020-09-04,NORMAL
2020-09-06,NORMAL
2020-09-07,NORMAL
2020-09-08,NORMAL
2020-09-09,NORMAL
2020-09-10,NORMAL
2020-09-11,NORMAL
2020-09-13,NORMAL
2020-09-14,NORMAL
2020-09-15,NORMAL
2020-09-16,NORMAL
2020-09-17,NORMAL
2020-09-18,NORMAL
2020-09-20,NORMAL
2020-09-21,NORMAL
2020-09-22,NORMAL
2020-09-23,NORMAL
2020-09-24,NORMAL
2020-09-25,NORMAL
2020-09-27,NORMAL
2020-09-28,NORMAL
2020-09-29,NORMAL
2020-09-30,NORMAL
2020-10-01,NORMAL
2020-10-02,NORMAL
2020-10-04,NORMAL
2020-10-05,NORMAL
2020-10-06,NORMAL
2020-10-07,NORMAL
2020-10-08,NORMAL
2020-10-09,NORMAL
2020-10-11,NORMAL
2020-10-12,NORMAL
2020-10-13,NORMAL
2020-10-14,NORMAL
2020-10-15,NORMAL
2020-10-16,NORMAL
2020-10-18,NORMAL
2020-10-19,NORMAL
2020-10-20,NORMAL
2020-10-21,NORMAL
2020-10-22,NORMAL
2020-10-23,NORMAL
2020-10-25,NORMAL
2020-10-26,NORMAL
2020-10-27,NORMAL
2020-10-28,NORMAL
2020-10-29,NORMAL
2020-10-30,NORMAL
2020-11-01,NORMAL
2020-11-02,NORMAL
2020-11-03,NORMAL
2020-11-04,NORMAL
2020-11-05,NORMAL
2020-11-06,ELEVATED
2020-11-08,ELEVATED
2020-11-09,ELEVATED
2020-11-10,ELEVATED
2020-11-11,ELEVATED
2020-11-12,ELEVATED
2020-11-13,ELEVATED
2020-11-15,ELEVATED
2020-11-16,ELEVATED
2020-11-17,ELEVATED
2020-11-18,ELEVATED
2020-11-19,ELEVATED
2020-11-20,ELEVATED
2020-11-22,ELEVATED
2020-11-23,ELEVATED
2020-11-24,ELEVATED
2020-11-25,ELEVATED
2020-11-26,NORMAL
2020-11-27,NORMAL
2020-11-29,NORMAL
2020-11-30,NORMAL
2020-12-01,NORMAL
2020-12-02,NORMAL
2020-12-03,NORMAL
2020-12-04,NORMAL
2020-12-06,NORMAL
2020-12-07,NORMAL
2020-12-08,NORMAL
2020-12-09,NORMAL
2020-12-10,NORMAL
2020-12-11,NORMAL
2020-12-13,NORMAL
2020-12-14,NORMAL
2020-12-15,NORMAL
2020-12-16,NORMAL
2020-12-17,NORMAL
2020-12-18,NORMAL
2020-12-20,NORMAL
2020-12-21,NORMAL
2020-12-22,NORMAL
2020-12-23,NORMAL
2020-12-24,NORMAL
