,risk_scalar_applied
2020-03-20,1.0
2020-03-27,1.0
2020-04-03,1.0
2020-04-10,1.0
2020-04-17,1.0
2020-04-24,1.0
2020-05-01,1.0
2020-05-08,1.0
2020-05-15,1.0
2020-05-22,1.0
2020-05-29,1.0
2020-06-05,1.0
2020-06-12,1.0
2020-06-19,1.0
2020-06-26,1.0
2020-07-03,1.0
2020-07-10,1.0
2020-07-17,1.0
2020-07-24,1.0
2020-07-31,1.0
2020-08-07,1.0
2020-08-14,1.0
2020-08-21,1.0
2020-08-28,0.91328125
2020-09-04,0.8612627029418947
2020-09-11,0.9176295191515238
2020-09-18,0.9853398240872707
2020-09-25,0.9973908036522511
2020-10-02,0.9995356191070535
2020-10-09,0.9999173501779888
2020-10-16,0.9999852901073618
2020-10-23,0.9999973819551433
2020-10-30,0.9999995340442625
2020-11-06,0.9999999170698894
2020-11-13,0.9624999852402221
2020-11-20,0.8700225803808892
2020-11-27,0.853563589135173
2020-12-04,0.9162592423045754
2020-12-11,0.9850959442480556
2020-12-18,0.9973473982804766
2020-12-25,0.9995278938834149
2021-01-01,0.9999159752541527
2021-01-08,0.9999850454004583
2021-01-15,0.9999973384025718
2021-01-22,0.9999995262928406
2021-01-29,0.934374915690303
2021-02-05,0.8650169222505447
2021-02-12,0.8526726895314081
2021-02-19,0.8504756813155266
2021-02-26,0.8500846610544481
2021-03-05,0.850015067848802
2021-03-12,0.9525417442533635
2021-03-19,0.9915534500880621
2021-03-26,0.9984966955845207
2021-04-02,0.9997324441116004
2021-04-09,0.9999523808001358
2021-04-16,0.9999915248054929
2021-04-23,0.999998491597462
2021-04-30,0.9999997315367554
2021-05-07,0.9999999522193103
2021-05-14,0.9999999914960637
2021-05-21,0.999999998486482
2021-05-28,0.8855957028556264
2021-06-04,0.8563352703568731
2021-06-11,0.8886275420141994
2021-06-18,0.9801780952461796
2021-06-25,0.909753376815055
2021-07-02,0.8606348173091248
2021-07-09,0.9544318314986211
2021-07-16,0.9918898450103747
2021-07-23,0.9985565666534578
2021-07-30,0.9997430998755787
2021-08-06,0.9999542772971917
2021-08-13,0.9999918623412238
2021-08-20,0.9624985516715704
2021-08-27,0.8700223252364686
2021-09-03,0.7785635437249476
2021-09-10,0.721929400238156
2021-09-17,0.8272061847591835
2021-09-24,0.932661940598009
2021-10-01,0.9880152721425656
2021-10-08,0.9978669759257642
