date,engine,policy_multiplier,policy_state,stress_percentile,stress_value
2020-01-06,trend,1,ON,0.00000000,0
2020-01-06,vrp,1,ON,0.00000000,0
2020-01-07,trend,1,ON,0.00000000,0
2020-01-07,vrp,1,ON,0.00000000,0
2020-01-08,trend,1,ON,0.00000000,0
2020-01-08,vrp,1,ON,0.00000000,0
2020-01-09,trend,1,ON,0.00000000,0
2020-01-09,vrp,1,ON,0.00000000,0
2020-01-10,trend,1,ON,0.00000000,0
2020-01-10,vrp,1,ON,0.00000000,0
2020-01-12,trend,1,ON,0.00000000,0
2020-01-12,vrp,1,ON,0.00000000,0
2020-01-13,vrp,1,ON,0.00000000,0
2020-01-13,trend,1,ON,0.00000000,0
2020-01-14,trend,1,ON,0.00000000,0
2020-01-14,vrp,1,ON,0.00000000,0
2020-01-15,trend,1,ON,0.00000000,0
2020-01-15,vrp,1,ON,0.00000000,0
2020-01-16,trend,1,ON,0.00000000,0
2020-01-16,vrp,1,ON,0.00000000,0
2020-01-17,trend,1,ON,0.00000000,0
2020-01-17,vrp,1,ON,0.00000000,0
2020-01-19,trend,1,ON,0.00000000,0
2020-01-19,vrp,1,ON,0.00000000,0
2020-01-20,trend,1,ON,0.00000000,0
2020-01-20,vrp,1,ON,0.00000000,0
2020-01-21,vrp,1,ON,0.00000000,0
2020-01-21,trend,1,ON,0.00000000,0
2020-01-22,trend,1,ON,0.00000000,0
2020-01-22,vrp,1,ON,0.00000000,0
2020-01-23,trend,1,ON,0.00000000,0
2020-01-23,vrp,1,ON,0.00000000,0
2020-01-24,trend,1,ON,0.00000000,0
2020-01-24,vrp,1,ON,0.00000000,0
2020-01-26,trend,1,ON,0.00000000,0
2020-01-26,vrp,1,ON,0.00000000,0
2020-01-27,trend,1,ON,0.00000000,0
2020-01-27,vrp,1,ON,0.00000000,0
2020-01-28,vrp,1,ON,0.00000000,0
2020-01-28,trend,1,ON,0.00000000,0
2020-01-29,vrp,1,ON,0.00000000,0
2020-01-29,trend,1,ON,0.00000000,0
2020-01-30,trend,1,ON,0.00000000,0
2020-01-30,vrp,1,ON,0.00000000,0
2020-01-31,trend,1,ON,0.00000000,0
2020-01-31,vrp,1,ON,0.00000000,0
2020-02-02,trend,1,ON,0.00000000,0
2020-02-02,vrp,1,ON,0.00000000,0
2020-02-03,trend,1,ON,0.00000000,0
2020-02-03,vrp,1,ON,0.00000000,0
2020-02-04,trend,1,ON,0.00000000,0
2020-02-04,vrp,1,ON,0.00000000,0
2020-02-05,vrp,1,ON,0.00000000,0
2020-02-05,trend,1,ON,0.00000000,0
2020-02-06,vrp,1,ON,0.00000000,0
2020-02-06,trend,1,ON,0.00000000,0
2020-02-07,trend,1,ON,0.00000000,0
2020-02-07,vrp,1,ON,0.00000000,0
2020-02-09,trend,1,ON,0.00000000,0
2020-02-09,vrp,1,ON,0.00000000,0
2020-02-10,trend,1,ON,0.00000000,0
2020-02-10,vrp,1,ON,0.00000000,0
2020-02-11,trend,1,ON,0.00000000,0
2020-02-11,vrp,1,ON,0.00000000,0
2020-02-12,trend,1,ON,0.00000000,0
2020-02-12,vrp,1,ON,0.00000000,0
2020-02-13,trend,1,ON,0.00000000,0
2020-02-13,vrp,1,ON,0.00000000,0
2020-02-14,vrp,1,ON,0.00000000,0
2020-02-14,trend,1,ON,0.00000000,0
2020-02-16,trend,1,ON,0.00000000,0
2020-02-16,vrp,1,ON,0.00000000,0
2020-02-17,trend,1,ON,0.00000000,0
2020-02-17,vrp,1,ON,0.00000000,0
2020-02-18,trend,1,ON,0.00000000,0
2020-02-18,vrp,1,ON,0.00000000,0
2020-02-19,trend,1,ON,0.00000000,0
2020-02-19,vrp,1,ON,0.00000000,0
2020-02-20,trend,1,ON,0.00000000,0
2020-02-20,vrp,1,ON,0.00000000,0
2020-02-21,vrp,1,ON,0.00000000,0
2020-02-21,trend,1,ON,0.00000000,0
2020-02-23,vrp,1,ON,0.00000000,0
2020-02-23,trend,1,ON,0.00000000,0
2020-02-24,trend,1,ON,0.00000000,0
2020-02-24,vrp,1,ON,0.00000000,0
2020-02-25,trend,1,ON,0.00000000,0
2020-02-25,vrp,1,ON,0.00000000,0
2020-02-26,trend,1,ON,0.00000000,0
2020-02-26,vrp,1,ON,0.00000000,0
2020-02-27,trend,1,ON,0.00000000,0
2020-02-27,vrp,1,ON,0.00000000,0
2020-02-28,trend,1,ON,0.00000000,0
2020-02-28,vrp,1,ON,0.00000000,0
2020-03-01,trend,1,ON,0.00000000,0
2020-03-01,vrp,1,ON,0.00000000,0
2020-03-02,vrp,1,ON,0.00000000,0
2020-03-02,trend,1,ON,0.00000000,0
2020-03-03,trend,1,ON,0.00000000,0
2020-03-03,vrp,1,ON,0.00000000,0
2020-03-04,trend,1,ON,0.00000000,0
2020-03-04,vrp,1,ON,0.00000000,0
2020-03-05,trend,1,ON,0.00000000,0
2020-03-05,vrp,1,ON,0.00000000,0
2020-03-06,trend,1,ON,0.00000000,0
2020-03-06,vrp,1,ON,0.00000000,0
2020-03-08,trend,1,ON,0.00000000,0
2020-03-08,vrp,1,ON,0.00000000,0
2020-03-09,trend,1,ON,0.00000000,0
2020-03-09,vrp,1,ON,0.00000000,0
2020-03-10,vrp,1,ON,0.00000000,0
2020-03-10,trend,1,ON,0.00000000,0
2020-03-11,trend,1,ON,0.00000000,0
2020-03-11,vrp,1,ON,0.00000000,0
2020-03-12,trend,1,ON,0.00000000,0
2020-03-12,vrp,1,ON,0.00000000,0
2020-03-13,trend,1,ON,0.00000000,0
2020-03-13,vrp,1,ON,0.00000000,0
2020-03-15,trend,1,ON,0.00000000,0
2020-03-15,vrp,1,ON,0.00000000,0
2020-03-16,trend,1,ON,0.00000000,0
2020-03-16,vrp,1,ON,0.00000000,0
2020-03-17,trend,1,ON,0.00000000,0
2020-03-17,vrp,1,ON,0.00000000,0
2020-03-18,vrp,1,ON,0.00000000,0
2020-03-18,trend,1,ON,0.00000000,0
2020-03-19,trend,1,ON,0.00000000,0
2020-03-19,vrp,1,ON,0.00000000,0
2020-03-20,trend,1,ON,0.00000000,0
2020-03-20,vrp,1,ON,0.00000000,0
2020-03-22,trend,1,ON,0.00000000,0
2020-03-22,vrp,1,ON,0.00000000,0
2020-03-23,trend,1,ON,0.00000000,0
2020-03-23,vrp,1,ON,0.00000000,0
2020-03-24,trend,1,ON,0.00000000,0
2020-03-24,vrp,1,ON,0.00000000,0
2020-03-25,trend,1,ON,0.00000000,0
2020-03-25,vrp,1,ON,0.00000000,0
2020-03-26,vrp,1,ON,0.00000000,0
2020-03-26,trend,1,ON,0.00000000,0
2020-03-27,trend,1,ON,0.00000000,0
2020-03-27,vrp,1,ON,0.00000000,0
2020-03-29,trend,1,ON,0.00000000,0
2020-03-29,vrp,1,ON,0.00000000,0
2020-03-30,trend,1,ON,0.00000000,0
2020-03-30,vrp,1,ON,0.00000000,0
2020-03-31,trend,1,ON,0.00000000,0
2020-03-31,vrp,1,ON,0.00000000,0
2020-04-01,trend,1,ON,0.00000000,0
2020-04-01,vrp,1,ON,0.00000000,0
2020-04-02,trend,1,ON,0.00000000,0
2020-04-02,vrp,1,ON,0.00000000,0
2020-04-03,vrp,1,ON,0.00000000,0
2020-04-03,trend,1,ON,0.00000000,0
2020-04-05,trend,1,ON,0.00000000,0
2020-04-05,vrp,1,ON,0.00000000,0
2020-04-06,trend,1,ON,0.00000000,0
2020-04-06,vrp,1,ON,0.00000000,0
2020-04-07,trend,1,ON,0.00000000,0
2020-04-07,vrp,1,ON,0.00000000,0
2020-04-08,trend,1,ON,0.00000000,0
2020-04-08,vrp,1,ON,0.00000000,0
2020-04-09,trend,1,ON,0.00000000,0
2020-04-09,vrp,1,ON,0.00000000,0
2020-04-10,vrp,1,ON,0.00000000,0
