date,profile,regime
2021-12-17,H,NORMAL
2021-12-24,H,NORMAL
2021-12-31,H,NORMAL
2022-01-07,H,NORMAL
2022-01-14,H,NORMAL
2022-01-21,H,NORMAL
2022-01-28,H,NORMAL
2022-02-04,H,NORMAL
2022-02-11,H,NORMAL
2022-02-18,H,NORMAL
2022-02-25,H,NORMAL
2022-03-04,H,NORMAL
2022-03-11,H,NORMAL
2022-03-18,H,NORMAL
2022-03-25,H,NORMAL
2022-04-01,H,ELEVATED
2022-04-08,H,ELEVATED
2022-04-15,H,ELEVATED
2022-04-22,H,ELEVATED
2022-04-29,H,ELEVATED
2022-05-06,H,ELEVATED
2022-05-13,H,ELEVATED
2022-05-20,H,ELEVATED
2022-05-27,H,ELEVATED
2022-06-03,H,ELEVATED
2022-06-10,H,ELEVATED
2022-06-17,H,ELEVATED
2022-06-24,H,ELEVATED
2022-07-01,H,ELEVATED
2022-07-08,H,ELEVATED
2022-07-15,H,ELEVATED
2022-07-22,H,ELEVATED
2022-07-29,H,ELEVATED
2022-08-05,H,ELEVATED
2022-08-12,H,STRESS
2022-08-19,H,STRESS
2022-08-26,H,STRESS
2022-09-02,H,STRESS
2022-09-09,H,STRESS
2022-09-16,H,STRESS
2022-09-23,H,STRESS
2022-09-30,H,STRESS
2022-10-07,H,STRESS
2022-10-14,H,STRESS
2022-10-21,H,STRESS
2022-10-28,H,STRESS
2022-11-04,H,STRESS
2022-11-11,H,STRESS
2022-11-18,H,STRESS
2022-11-25,H,STRESS
2022-12-02,H,STRESS
2022-12-09,H,STRESS
2022-12-16,H,STRESS
2022-12-23,H,ELEVATED
2022-12-30,H,ELEVATED
2023-01-06,H,ELEVATED
2023-01-13,H,ELEVATED
2023-01-20,H,ELEVATED
2023-01-27,H,STRESS
2023-02-03,H,STRESS
2023-02-10,H,STRESS
2023-02-17,H,STRESS
2023-02-24,H,STRESS
2023-03-03,H,STRESS
2023-03-10,H,STRESS
2023-03-17,H,STRESS
2023-03-24,H,STRESS
2023-03-31,H,STRESS
2023-04-07,H,STRESS
2023-04-14,H,STRESS
2023-04-21,H,STRESS
2023-04-28,H,STRESS
2023-05-05,H,STRESS
2023-05-12,H,STRESS
2023-05-19,H,STRESS
2023-05-26,H,STRESS
2023-06-02,H,ELEVATED
2023-06-09,H,ELEVATED
2023-06-16,H,ELEVATED
2023-06-23,H,ELEVATED
2023-06-30,H,ELEVATED
2023-07-07,H,ELEVATED
2023-07-14,H,ELEVATED
2023-07-21,H,ELEVATED
2023-07-28,H,ELEVATED
2023-08-04,H,ELEVATED
2023-08-11,H,ELEVATED
2023-08-18,H,ELEVATED
2023-08-25,H,ELEVATED
2023-09-01,H,ELEVATED
2023-09-08,H,ELEVATED
2023-09-15,H,ELEVATED
2023-09-22,H,ELEVATED
2023-09-29,H,ELEVATED
2023-10-06,H,ELEVATED
2023-10-13,H,ELEVATED
2023-10-20,H,ELEVATED
2023-10-27,H,ELEVATED
2023-11-03,H,ELEVATED
2023-11-10,H,ELEVATED
2023-11-17,H,STRESS
2023-11-24,H,STRESS
2023-12-01,H,STRESS
2023-12-08,H,STRESS
2023-12-15,H,STRESS
2023-12-22,H,STRESS
2023-12-29,H,STRESS
2024-01-05,H,STRESS
2024-01-12,H,STRESS
2024-01-19,H,STRESS
2024-01-26,H,STRESS
2024-02-02,H,STRESS
2024-02-09,H,STRESS
2024-02-16,H,STRESS
2024-02-23,H,STRESS
2024-03-01,H,STRESS
2024-03-08,H,STRESS
2024-03-15,H,STRESS
2024-03-22,H,STRESS
2024-03-29,H,STRESS
2024-04-05,H,STRESS
2024-04-12,H,STRESS
2024-04-19,H,STRESS
2024-04-26,H,ELEVATED
2024-05-03,H,STRESS
2024-05-10,H,STRESS
2024-05-17,H,STRESS
2024-05-24,H,STRESS
2024-05-31,H,STRESS
2024-06-07,H,STRESS
2024-06-14,H,STRESS
2024-06-21,H,STRESS
2024-06-28,H,STRESS
2024-07-05,H,STRESS
2024-07-12,H,STRESS
2024-07-19,H,STRESS
2024-07-26,H,STRESS
2024-08-02,H,STRESS
2024-08-09,H,STRESS
2024-08-16,H,STRESS
2024-08-23,H,STRESS
