date,leverage
2020-10-23,2.88112984
2020-10-30,3.20007708
2020-11-06,2.51197082
2020-11-13,2.76563165
2020-11-20,2.90843422
2020-11-27,2.89662980
2020-12-04,2.71891313
2020-12-11,2.75640390
2020-12-18,2.66183652
2020-12-25,2.65155752
2021-01-01,2.45335048
2021-01-08,2.10328891
2021-01-15,2.41736682
2021-01-22,2.35777358
2021-01-29,2.38986940
2021-02-05,2.21486476
2021-02-12,2.08488758
2021-02-19,2.32265927
2021-02-26,2.35311022
2021-03-05,2.14522245
2021-03-12,2.33731252
2021-03-19,2.41263559
2021-03-26,2.74972837
2021-04-02,2.52832352
2021-04-09,2.51968900
2021-04-16,2.65235685
2021-04-23,2.60806602
2021-04-30,2.54100015
2021-05-07,2.60636690
2021-05-14,2.63719702
2021-05-21,2.69888876
2021-05-28,2.63377969
2021-06-04,2.81605324
2021-06-11,3.73995648
2021-06-18,3.12155568
2021-06-25,3.40747908
2021-07-02,3.07982129
2021-07-09,3.11942607
2021-07-16,2.79340232
2021-07-23,2.74764796
2021-07-30,2.90338038
2021-08-06,3.13805119
2021-08-13,2.97235210
2021-08-20,2.96814931
2021-08-27,2.80244286
2021-09-03,3.39412018
2021-09-10,2.99536680
2021-09-17,3.44496742
2021-09-24,2.85804232
2021-10-01,3.12933283
2021-10-08,3.00994511
2021-10-15,3.31794500
2021-10-22,3.27135287
2021-10-29,3.20212405
2021-11-05,2.62251875
2021-11-12,3.08365186
2021-11-19,2.52454056
2021-11-26,2.78991879
2021-12-03,2.29127858
2021-12-10,2.43449996
2021-12-17,2.17990433
2021-12-24,2.64684395
2021-12-31,2.14718384
2022-01-07,2.76155867
2022-01-14,2.46208816
2022-01-21,2.49802092
2022-01-28,2.12975979
2022-02-04,2.37199142
2022-02-11,2.24482778
2022-02-18,1.72901893
2022-02-25,2.06036588
2022-03-04,1.51536451
2022-03-11,1.55586085
2022-03-18,1.51899218
2022-03-25,1.60712337
2022-04-01,1.65517343
2022-04-08,1.94725983
2022-04-15,2.03087286
2022-04-22,1.55559884
2022-04-29,1.45798895
2022-05-06,1.51494827
2022-05-13,1.39935440
2022-05-20,1.63050673
2022-05-27,1.60432770
2022-06-03,1.71327663
2022-06-10,1.88498147
2022-06-17,1.60263177
2022-06-24,2.13822026
2022-07-01,2.17413861
2022-07-08,2.33982157
2022-07-15,2.73998992
2022-07-22,2.58279903
2022-07-29,2.68632685
2022-08-05,2.49337333
2022-08-12,2.47261482
2022-08-19,2.34341986
2022-08-26,2.24808467
2022-09-02,2.29082813
2022-09-09,2.45139178
2022-09-16,2.72284832
2022-09-23,3.27117857
2022-09-30,2.11126643
2022-10-07,3.98608425
2022-10-14,2.25453941
2022-10-21,3.53802872
2022-10-28,2.20095584
2022-11-04,2.89920329
2022-11-11,2.07490877
2022-11-18,2.68341586
2022-11-25,2.05816676
2022-12-02,2.69486493
2022-12-09,2.17770155
2022-12-16,2.88063235
2022-12-23,2.15103697
2022-12-30,2.37790413
2023-01-06,2.07846894
2023-01-13,2.12199203
2023-01-20,2.03279664
2023-01-27,2.15455988
2023-02-03,2.09801666
2023-02-10,2.16575810
2023-02-17,2.32589425
2023-02-24,2.20960330
2023-03-03,2.39314125
2023-03-10,2.29760417
2023-03-17,2.07387262
2023-03-24,2.12151510
2023-03-31,2.05777828
2023-04-07,2.37334633
2023-04-14,2.14316150
2023-04-21,2.46642385
2023-04-28,2.34309608
2023-05-05,2.16320419
2023-05-12,2.41425412
2023-05-19,2.37219635
2023-05-26,2.71070540
2023-06-02,2.50515352
2023-06-09,2.45457404
2023-06-16,2.68263841
2023-06-23,2.21308965
2023-06-30,2.62581054
2023-07-07,2.30741981
2023-07-14,2.65020568
2023-07-21,2.57379947
2023-07-28,2.76306368
2023-08-04,2.69728965
2023-08-11,2.68866962
2023-08-18,2.64625676
2023-08-25,2.37296050
2023-09-01,2.89370344
2023-09-08,2.34475877
2023-09-15,2.50878710
2023-09-22,2.26842403
2023-09-29,2.32474269
2023-10-06,1.99099186
2023-10-13,1.97613643
2023-10-20,2.11189503
2023-10-27,1.78121999
2023-11-03,2.16936180
2023-11-10,2.00081088
2023-11-17,2.53993427
2023-11-24,2.41836982
2023-12-01,2.99077828
2023-12-08,2.67040834
2023-12-15,3.21524152
2023-12-22,2.85396596
2023-12-29,3.22499775
2024-01-05,2.96181353
2024-01-12,3.14984109
2024-01-19,3.15917854
2024-01-26,3.08901569
2024-02-02,2.71581706
2024-02-09,2.95107709
2024-02-16,2.57078654
2024-02-23,2.93655506
2024-03-01,2.36380723
2024-03-08,2.75839371
2024-03-15,2.43113702
2024-03-22,2.44033455
2024-03-29,2.59877759
2024-04-05,2.31958285
2024-04-12,2.59688614
2024-04-19,2.53969340
2024-04-26,2.65592074
2024-05-03,2.43848075
2024-05-10,2.52142590
2024-05-17,2.35492817
2024-05-24,2.68058971
2024-05-31,2.61606345
2024-06-07,2.87081892
2024-06-14,2.84519104
2024-06-21,2.99108959
2024-06-28,2.91355306
2024-07-05,2.93664132
2024-07-12,3.37508915
2024-07-19,2.74253576
2024-07-26,3.59823736
2024-08-02,2.75495676
2024-08-09,2.93570349
2024-08-16,2.49306145
2024-08-23,2.37659311
2024-08-30,2.05701947
2024-09-06,1.94347053
2024-09-13,1.89867521
2024-09-20,1.94381210
2024-09-27,1.87679107
2024-10-04,1.90778834
2024-10-11,2.03902155
2024-10-18,2.38376691
