date,instrument,weight
2020-10-23,6B_FRONT_CALENDAR,0.14329539
2020-10-23,6E_FRONT_CALENDAR,0.28171517
2020-10-23,6J_FRONT_CALENDAR,0.28266048
2020-10-23,CL_FRONT_VOLUME,0.00133747
2020-10-23,ES_FRONT_CALENDAR_2D,0.09389368
2020-10-23,GC_FRONT_VOLUME,0.00702713
2020-10-23,NQ_FRONT_CALENDAR_2D,0.05481756
2020-10-23,RTY_FRONT_CALENDAR_2D,0.06738767
2020-10-23,SR3_FRONT_CALENDAR,0.04071915
2020-10-23,UB_FRONT_VOLUME,-0.12589690
2020-10-23,ZF_FRONT_VOLUME,-0.65113356
2020-10-23,ZN_FRONT_VOLUME,-0.67292481
2020-10-23,ZT_FRONT_VOLUME,-0.45832088
2020-10-30,6B_FRONT_CALENDAR,0.18569136
2020-10-30,6E_FRONT_CALENDAR,0.28008438
2020-10-30,6J_FRONT_CALENDAR,0.41381951
2020-10-30,CL_FRONT_VOLUME,-0.01379020
2020-10-30,ES_FRONT_CALENDAR_2D,0.06032091
2020-10-30,GC_FRONT_VOLUME,-0.00329970
2020-10-30,NQ_FRONT_CALENDAR_2D,0.02888499
2020-10-30,RTY_FRONT_CALENDAR_2D,0.08017931
2020-10-30,SR3_FRONT_CALENDAR,0.16027425
2020-10-30,UB_FRONT_VOLUME,-0.14369860
2020-10-30,ZF_FRONT_VOLUME,-0.68088727
2020-10-30,ZN_FRONT_VOLUME,-0.75398645
2020-10-30,ZT_FRONT_VOLUME,-0.39516014
2020-11-06,6B_FRONT_CALENDAR,0.16438989
2020-11-06,6E_FRONT_CALENDAR,0.21936854
2020-11-06,6J_FRONT_CALENDAR,0.39685540
2020-11-06,CL_FRONT_VOLUME,-0.01227621
2020-11-06,ES_FRONT_CALENDAR_2D,0.04983369
2020-11-06,GC_FRONT_VOLUME,0.01761866
2020-11-06,NQ_FRONT_CALENDAR_2D,0.03299972
2020-11-06,RTY_FRONT_CALENDAR_2D,0.04300088
2020-11-06,SR3_FRONT_CALENDAR,0.04387365
