date,instrument,weight
2020-10-23,6B_FRONT_CALENDAR,0.14201500
2020-10-23,6E_FRONT_CALENDAR,0.27919796
2020-10-23,6J_FRONT_CALENDAR,0.28013482
2020-10-23,CL_FRONT_VOLUME,0.00132552
2020-10-23,ES_FRONT_CALENDAR_2D,0.09305471
2020-10-23,GC_FRONT_VOLUME,0.00696435
2020-10-23,NQ_FRONT_CALENDAR_2D,0.05432775
2020-10-23,RTY_FRONT_CALENDAR_2D,0.06678554
2020-10-23,SR3_FRONT_CALENDAR,0.04035531
2020-10-23,UB_FRONT_VOLUME,-0.12477198
2020-10-23,ZF_FRONT_VOLUME,-0.64531549
2020-10-23,ZN_FRONT_VOLUME,-0.66691203
2020-10-23,ZT_FRONT_VOLUME,-0.45422565
2020-10-30,6B_FRONT_CALENDAR,0.17082968
2020-10-30,6E_FRONT_CALENDAR,0.25766801
2020-10-30,6J_FRONT_CALENDAR,0.38069973
2020-10-30,CL_FRONT_VOLUME,-0.01268651
2020-10-30,ES_FRONT_CALENDAR_2D,0.05549317
2020-10-30,GC_FRONT_VOLUME,-0.00303561
2020-10-30,NQ_FRONT_CALENDAR_2D,0.02657320
2020-10-30,RTY_FRONT_CALENDAR_2D,0.07376221
2020-10-30,SR3_FRONT_CALENDAR,0.14744681
2020-10-30,UB_FRONT_VOLUME,-0.13219777
2020-10-30,ZF_FRONT_VOLUME,-0.62639291
2020-10-30,ZN_FRONT_VOLUME,-0.69364165
2020-10-30,ZT_FRONT_VOLUME,-0.36353375
2020-11-06,6B_FRONT_CALENDAR,0.19560699
2020-11-06,6E_FRONT_CALENDAR,0.26102591
2020-11-06,6J_FRONT_CALENDAR,0.47221695
2020-11-06,CL_FRONT_VOLUME,-0.01460742
2020-11-06,ES_FRONT_CALENDAR_2D,0.05929694
2020-11-06,GC_FRONT_VOLUME,0.02096439
2020-11-06,NQ_FRONT_CALENDAR_2D,0.03926626
2020-11-06,RTY_FRONT_CALENDAR_2D,0.05116661
2020-11-06,SR3_FRONT_CALENDAR,0.05220511
2020-11-06,UB_FRONT_VOLUME,-0.11911247
2020-11-06,ZF_FRONT_VOLUME,-0.61548688
2020-11-06,ZN_FRONT_VOLUME,-0.64889138
2020-11-06,ZT_FRONT_VOLUME,-0.43913860
2020-11-13,6B_FRONT_CALENDAR,0.18257879
2020-11-13,6E_FRONT_CALENDAR,0.17132851
2020-11-13,6J_FRONT_CALENDAR,0.35961552
