date,multiplier,profile
2020-10-23,0.99999738,H
2020-10-30,0.99999953,H
2020-11-06,0.99999992,H
2020-11-13,0.99999999,H
2020-11-20,0.88559570,H
2020-11-27,0.85633527,H
2020-12-04,0.85112754,H
2020-12-11,0.93691943,H
2020-12-18,0.98877301,H
2020-12-25,0.99800184,H
2021-01-01,0.99964437,H
2021-01-08,0.99993671,H
2021-01-15,0.99998873,H
2021-01-22,0.99999800,H
2021-01-29,0.99999964,H
2021-02-05,0.96249994,H
2021-02-12,0.87002257,H
2021-02-19,0.85356359,H
2021-02-26,0.85063424,H
2021-03-05,0.85011288,H
2021-03-12,0.96442439,H
2021-03-19,0.99366831,H
2021-03-26,0.99887309,H
2021-04-02,0.99979944,H
2021-04-09,0.99996430,H
2021-04-16,0.99999365,H
2021-04-23,0.99999887,H
2021-04-30,0.99999980,H
2021-05-07,0.99999996,H
2021-05-14,0.99999999,H
2021-05-21,1.00000000,H
2021-05-28,0.88559570,H
2021-06-04,0.85633527,H
2021-06-11,0.88862754,H
2021-06-18,0.98017810,H
2021-06-25,0.90975338,H
2021-07-02,0.86063482,H
2021-07-09,0.95443183,H
2021-07-16,0.99188985,H
2021-07-23,0.99855657,H
2021-07-30,0.99974310,H
2021-08-06,0.99995428,H
2021-08-13,0.99999186,H
2021-08-20,0.99999855,H
2021-08-27,0.99999974,H
2021-09-03,0.88559566,H
2021-09-10,0.85633526,H
2021-09-17,0.85112754,H
2021-09-24,0.93691943,H
2021-10-01,0.98877301,H
2021-10-08,0.99800184,H
2021-10-15,0.99964437,H
2021-10-22,0.99993671,H
2021-10-29,0.99998873,H
2021-11-05,0.99999800,H
2021-11-12,0.99999964,H
2021-11-19,0.99999994,H
2021-11-26,0.99999999,H
2021-12-03,0.88559570,H
2021-12-10,0.95887433,H
2021-12-17,0.99268051,H
2021-12-24,0.99869729,H
2021-12-31,0.99976815,H
2022-01-07,0.99995873,H
2022-01-14,0.99999266,H
2022-01-21,0.99999869,H
2022-01-28,0.99999977,H
2022-02-04,0.99999996,H
2022-02-11,0.99999999,H
2022-02-18,1.00000000,H
2022-02-25,1.00000000,H
2022-03-04,1.00000000,H
2022-03-11,1.00000000,H
2022-03-18,0.89746094,H
2022-03-25,0.85844703,H
2022-04-01,0.85150339,H
2022-04-08,0.85026757,H
2022-04-15,0.85004762,H
2022-04-22,0.85000848,H
2022-04-29,0.85000151,H
2022-05-06,0.85000027,H
2022-05-13,0.85000005,H
2022-05-20,0.85000001,H
