date,leverage
2020-10-23,2.88112984
2020-10-30,3.20008188
2020-11-06,2.51197022
2020-11-13,2.76563194
2020-11-20,2.90843422
2020-11-27,3.04540462
2020-12-04,2.86196638
2020-12-11,2.95782801
2020-12-18,2.66183652
2020-12-25,2.67572950
2021-01-01,2.43583952
2021-01-08,2.11347077
2021-01-15,2.41052681
2021-01-22,2.36152129
2021-01-29,2.38793759
2021-02-05,2.21631214
2021-02-12,2.14773666
2021-02-19,2.53438297
2021-02-26,2.49825686
2021-03-05,2.33984031
2021-03-12,2.49362297
2021-03-19,2.36262880
2021-03-26,2.81810772
2021-04-02,2.48397833
2021-04-09,2.55937930
2021-04-16,2.62215298
2021-04-23,2.63397288
2021-04-30,2.52076836
2021-05-07,2.62291424
2021-05-14,2.62334259
2021-05-21,2.71067579
2021-05-28,2.62451489
2021-06-04,3.11391939
2021-06-11,3.90337968
2021-06-18,3.35221138
2021-06-25,3.25586607
2021-07-02,3.45173033
2021-07-09,3.17456903
2021-07-16,2.84100360
2021-07-23,2.76833592
2021-07-30,2.92985013
2021-08-06,3.13248476
2021-08-13,2.97008549
2021-08-20,2.94453815
2021-08-27,2.78464336
2021-09-03,3.40124970
2021-09-10,3.29984898
2021-09-17,3.60378044
2021-09-24,3.13474193
2021-10-01,3.05026810
2021-10-08,3.09929953
2021-10-15,3.23961695
2021-10-22,3.33723242
2021-10-29,3.15239777
2021-11-05,2.65279576
2021-11-12,3.05426736
2021-11-19,2.54447530
2021-11-26,2.77420004
2021-12-03,2.30240815
2021-12-10,2.65981968
2021-12-17,2.09384901
2021-12-24,2.76228289
2021-12-31,2.08156382
2022-01-07,2.83154898
2022-01-14,2.40994086
2022-01-21,2.53646083
2022-01-28,2.10031258
2022-02-04,2.39441734
2022-02-11,2.22468553
2022-02-18,1.73955848
2022-02-25,2.05048568
2022-03-04,1.52126962
2022-03-11,1.55169612
2022-03-18,1.52184394
2022-03-25,1.74454150
2022-04-01,1.75680642
2022-04-08,2.13716918
2022-04-15,2.21029633
2022-04-22,1.64809433
2022-04-29,1.53723310
2022-05-06,1.61949822
2022-05-13,1.48531293
2022-05-20,1.73344747
2022-05-27,1.73664964
2022-06-03,1.82764589
2022-06-10,1.84379093
2022-06-17,1.63265986
2022-06-24,2.09118862
2022-07-01,2.19029981
2022-07-08,2.29555597
2022-07-15,2.74612468
2022-07-22,2.54117314
2022-07-29,2.68385791
2022-08-05,2.46060406
2022-08-12,2.46209845
2022-08-19,2.31674744
2022-08-26,2.42209757
2022-09-02,2.33370000
2022-09-09,2.58440887
2022-09-16,2.52013511
2022-09-23,3.23660988
2022-09-30,1.94740267
2022-10-07,3.85706716
2022-10-14,2.06134647
2022-10-21,3.44624959
2022-10-28,2.02280218
