date,instrument,weight
2020-10-23,6B_FRONT_CALENDAR,0.14329539
2020-10-23,6E_FRONT_CALENDAR,0.28171517
2020-10-23,6J_FRONT_CALENDAR,0.28266048
2020-10-23,CL_FRONT_VOLUME,0.00133747
2020-10-23,ES_FRONT_CALENDAR_2D,0.09389368
2020-10-23,GC_FRONT_VOLUME,0.00702713
2020-10-23,NQ_FRONT_CALENDAR_2D,0.05481756
2020-10-23,RTY_FRONT_CALENDAR_2D,0.06738767
2020-10-23,SR3_FRONT_CALENDAR,0.04071915
2020-10-23,UB_FRONT_VOLUME,-0.12589690
2020-10-23,ZF_FRONT_VOLUME,-0.65113356
2020-10-23,ZN_FRONT_VOLUME,-0.67292481
2020-10-23,ZT_FRONT_VOLUME,-0.45832088
2020-10-30,6B_FRONT_CALENDAR,0.18569169
2020-10-30,6E_FRONT_CALENDAR,0.28008474
2020-10-30,6J_FRONT_CALENDAR,0.41382031
2020-10-30,CL_FRONT_VOLUME,-0.01379025
2020-10-30,ES_FRONT_CALENDAR_2D,0.06032092
2020-10-30,GC_FRONT_VOLUME,-0.00329973
2020-10-30,NQ_FRONT_CALENDAR_2D,0.02888497
2020-10-30,RTY_FRONT_CALENDAR_2D,0.08017944
2020-10-30,SR3_FRONT_CALENDAR,0.16027471
2020-10-30,UB_FRONT_VOLUME,-0.14369882
2020-10-30,ZF_FRONT_VOLUME,-0.68088821
2020-10-30,ZN_FRONT_VOLUME,-0.75398759
2020-10-30,ZT_FRONT_VOLUME,-0.39516051
2020-11-06,6B_FRONT_CALENDAR,0.16438982
2020-11-06,6E_FRONT_CALENDAR,0.21936847
2020-11-06,6J_FRONT_CALENDAR,0.39685520
2020-11-06,CL_FRONT_VOLUME,-0.01227621
2020-11-06,ES_FRONT_CALENDAR_2D,0.04983365
2020-11-06,GC_FRONT_VOLUME,0.01761861
2020-11-06,NQ_FRONT_CALENDAR_2D,0.03299967
2020-11-06,RTY_FRONT_CALENDAR_2D,0.04300092
2020-11-06,SR3_FRONT_CALENDAR,0.04387387
