date,instrument,weight
2020-10-23,6B_FRONT_CALENDAR,0.14201500
2020-10-23,6E_FRONT_CALENDAR,0.27919796
2020-10-23,6J_FRONT_CALENDAR,0.28013482
2020-10-23,CL_FRONT_VOLUME,0.00132552
2020-10-23,ES_FRONT_CALENDAR_2D,0.09305471
2020-10-23,GC_FRONT_VOLUME,0.00696435
2020-10-23,NQ_FRONT_CALENDAR_2D,0.05432775
2020-10-23,RTY_FRONT_CALENDAR_2D,0.06678554
2020-10-23,SR3_FRONT_CALENDAR,0.04035531
2020-10-23,UB_FRONT_VOLUME,-0.12477198
2020-10-23,ZF_FRONT_VOLUME,-0.64531549
2020-10-23,ZN_FRONT_VOLUME,-0.66691203
2020-10-23,ZT_FRONT_VOLUME,-0.45422565
2020-10-30,6B_FRONT_CALENDAR,0.17082950
2020-10-30,6E_FRONT_CALENDAR,0.25766762
2020-10-30,6J_FRONT_CALENDAR,0.38069940
2020-10-30,CL_FRONT_VOLUME,-0.01268652
2020-10-30,ES_FRONT_CALENDAR_2D,0.05549302
2020-10-30,GC_FRONT_VOLUME,-0.00303563
2020-10-30,NQ_FRONT_CALENDAR_2D,0.02657311
2020-10-30,RTY_FRONT_CALENDAR_2D,0.07376212
2020-10-30,SR3_FRONT_CALENDAR,0.14744681
2020-10-30,UB_FRONT_VOLUME,-0.13219761
2020-10-30,ZF_FRONT_VOLUME,-0.62639201
2020-10-30,ZN_FRONT_VOLUME,-0.69364074
2020-10-30,ZT_FRONT_VOLUME,-0.36353308
2020-11-06,6B_FRONT_CALENDAR,0.19560705
2020-11-06,6E_FRONT_CALENDAR,0.26102601
2020-11-06,6J_FRONT_CALENDAR,0.47221704
2020-11-06,CL_FRONT_VOLUME,-0.01460743
2020-11-06,ES_FRONT_CALENDAR_2D,0.05929694
2020-11-06,GC_FRONT_VOLUME,0.02096434
2020-11-06,NQ_FRONT_CALENDAR_2D,0.03926623
2020-11-06,RTY_FRONT_CALENDAR_2D,0.05116669
2020-11-06,SR3_FRONT_CALENDAR,0.05220541
2020-11-06,UB_FRONT_VOLUME,-0.11911255
2020-11-06,ZF_FRONT_VOLUME,-0.61548717
2020-11-06,ZN_FRONT_VOLUME,-0.64889179
2020-11-06,ZT_FRONT_VOLUME,-0.43913858
2020-11-13,6B_FRONT_CALENDAR,0.18257877
2020-11-13,6E_FRONT_CALENDAR,0.17132850
2020-11-13,6J_FRONT_CALENDAR,0.35961548
