,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2021-01-01,-0.015745833392599485,-0.01295470885399594,0.3975122460794267,0.1026215486736451,0.06283545737231687,-0.06275962237853024,-0.6503953178225301,-0.06275962237853024,-0.005585702372467831,-0.018004147144576658,-0.05081388171605617,-0.03245745015432202,-0.046764339516242245
2021-01-08,0.0031047818660678746,0.0007473491723997382,0.35311204894435444,0.03382735430280702,-0.03259262581318627,-0.15133180090594373,-0.5932876392966993,-0.04747010281227858,0.004045870001368859,-0.02832170904788848,-0.026142096594841305,-0.007063556163601593,-0.018923677501298565
2021-01-15,0.023537671852989776,0.01150793824879712,0.31500342386797975,-0.04006982227268391,-0.13042147167123994,-0.2430475026854093,-0.5371354074655119,-0.030975762797884655,0.014549809732882717,-0.04327113370174081,-0.02466904487147053,0.02492433733313561,0.016771612694941936
2021-01-22,0.05016022608214206,0.02760392422809162,0.27600907058396174,-0.07508137805121541,-0.22252057068666414,-0.3651084944981714,-0.4881141825904469,-0.008637054177412624,0.024896454337194153,-0.0664387988405045,-0.017114948035230768,0.05942685115783729,0.03895621869620572
2021-01-29,0.04090967637853114,0.020482337366185856,0.2543767745659112,-0.013420808222169525,-0.26061722056639813,-0.4741809879024497,-0.4564374890133215,0.05482647192556699,0.039398214521964375,-0.1045780963372416,-0.021795516801073826,0.13488680954133053,0.013712168903779867
2021-02-05,0.05542831195929861,0.03536217579491671,0.21875474539600626,0.052182853370747226,-0.2897998409418047,-0.5359761284507584,-0.4185927848346275,0.07381451312446971,0.05333681607168453,-0.12856910852125997,-0.07278954257678483,0.17927501145205044,-0.0745413186024188
2021-02-12,0.08064619781325144,0.059431416236985626,0.20636985041007672,0.04812205192331898,-0.38536745402580397,-0.6377961309112699,-0.4261486086994669,0.07394727582826416,0.07425043285469934,-0.15482975253818673,-0.09663640355398845,0.24143484059558898,-0.17055134283921092
2021-02-19,0.09934754401938843,0.07082130825793227,0.20456540244232752,0.06025484811129297,-0.5076163549627785,-0.7273003657537352,-0.4364051971276628,0.14081029432421996,0.08609839668281873,-0.1798938711103697,-0.0839524554289379,0.29489398510040404,-0.23459494272264458
2021-02-26,0.10453656163372177,0.0615464466352801,0.2104351275464138,-0.042316923303089955,-0.5775114724608946,-0.7467245110814308,-0.42507769854833855,0.23788182204302888,0.09890572215226606,-0.19839935605892464,-0.0570683026565371,0.33962258440867976,-0.3110457153445662
2021-03-05,0.1108710499275935,0.04276005957424242,0.22523643439279728,-0.15334420473279092,-0.6458455147104802,-0.7522300769938228,-0.41121576984422314,0.341179864815278,0.11235162971015378,-0.21053391588086182,-0.07592314306971121,0.38040610107073625,-0.3838778476201747
