,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2020-03-20,0.09644088700490282,0.051080934735528924,0.07577602364392454,-0.41509381795825606,-0.6250017582935856,-0.6907715481203853,-0.1605548216974907,0.02655026132272217,0.0013318941876953251,-0.01945304486932676,0.261950655150362,0.15359651584857228,0.2510864516012392
2020-03-27,0.04951815789879386,0.016685117978918973,0.09411714437594278,-0.3195793898698,-0.5870446049283665,-0.7196658408442309,-0.16257619481038943,0.05850088821728515,-0.0043200327498486065,-0.026771155465825543,0.264667604838737,0.19155051205343504,0.4014479273942391
2020-04-03,0.05315174560811002,0.030234394827331396,0.061664679214543966,-0.40287661656027807,-0.561833344260219,-0.6476143660800863,-0.13918994815068256,-0.057160252714033646,-0.011083880323829403,-0.0035054335364275366,0.28116047959243445,0.19484216770297239,0.4823911480547022
2020-04-10,0.07730939817847092,0.03146097507540269,0.06220656473214536,-0.5036110614786812,-0.5800305929916126,-0.6151409172493025,-0.14077601772488205,-0.014744253380118921,0.01458168526476356,-0.04307209206760549,0.15729799936406627,0.19645423629809902,0.3944312507226961
2020-04-17,0.09729783028302555,0.0334173307645332,0.054799036103330784,-0.4900791370517277,-0.5707911119249393,-0.606574583758937,-0.11489379811921707,-0.05675130099144513,0.02856625969192884,-0.1391291430117019,0.1537382743065522,0.23348585622345308,0.3875215422068474
2020-04-24,0.12933302848910413,0.06067663389856626,0.05852393848714015,-0.41284036982393646,-0.543546912207102,-0.6003769265438129,-0.1504571730809282,-0.11117678177299599,0.034067904362796525,-0.18830950441062985,0.21276412296609484,0.23625987403766657,0.2676922983783347
2020-05-01,0.11137523311024364,0.07689959460694634,0.05757596769329712,-0.33142628602016777,-0.4090308625555378,-0.6980757224338704,-0.19443623835886126,-0.10971268071805369,0.034440399213690964,-0.16215234611045562,0.22353289823675945,0.24707493840808442,0.2100066137298352
2020-05-08,0.10898528003347834,0.07486756025795846,0.06127026616540751,-0.21692236139231386,-0.26504457025692857,-0.7628703733186898,-0.22105753265019817,-0.12868215598125063,0.033815086281191536,-0.17144117658127747,0.24320979304500764,0.19384371099441094,0.2501924248409123
2020-05-15,0.09941322487661446,0.07625954631164203,0.08340640163707638,-0.14998673265407242,-0.28429359522025277,-0.7689425119796265,-0.2645971367748727,-0.17111419747503592,0.04296097478156756,-0.11482786418858264,0.18798757815835793,0.09900203626241764,0.27171307476644013
2020-05-22,0.08213281925212537,0.06297538708413611,0.13496909022997122,-0.17785853744167401,-0.23324111635661898,-0.6415083594153577,-0.3246655876513961,-0.14442163923731544,0.035534943608856576,-0.09608243969592493,0.15456435469312696,0.08120939346838878,0.22434709546570666
2020-05-29,0.06441897718397335,0.04922002862285823,0.18048057224079078,-0.1249905954995671,-0.16506981473253313,-0.5396570962621967,-0.38297995814240104,-0.131049562443625,0.028112111016892823,-0.08251860489766696,0.11706600708173465,0.060375536969071296,0.17522360351093677
2020-06-05,0.07836498810129065,0.06119385313507829,0.15015715485512168,-0.22009113603240493,-0.30069246476029304,-0.5981347731645883,-0.3413211855543916,-0.06722694263494124,0.038879898147089816,-0.08357425476952687,0.11380705812982513,0.09350427593460375,0.17608696591654877
2020-06-12,0.09016808207191099,0.06298522167660887,0.14113444234350556,-0.3023191908109387,-0.42402634025599917,-0.6511980188827127,-0.3085574402213555,-0.005305003779554146,0.04921529999351566,-0.09268794287321652,0.062387762034964614,0.13778419793979002,0.1850106226618319
2020-06-19,0.11477202853718724,0.07594467479575351,0.14450411196615778,-0.2582435433208214,-0.520860286872285,-0.7328826777998126,-0.30759500401078094,0.06418604247416367,0.05669018040451329,-0.12709221972071186,0.019667784223411,0.1757368657118698,0.14154323019882703
2020-06-26,0.07492073432194199,0.04774505065340115,0.16692896702531626,-0.12092938430107084,-0.4800344321538707,-0.7373866839595588,-0.33017102458035785,0.09175180634363334,0.06576620101372446,-0.15489439946891959,0.0016820583280843099,0.24144331882130102,0.08537518731471744
2020-07-03,0.07742403322540545,0.05625075540887725,0.15148627454441488,0.02602837959059076,-0.44273974048900844,-0.727099122708365,-0.32510901735430686,0.08243153298800145,0.07646668863002902,-0.17351333617127143,-0.07575707094120358,0.2689968891134604,-0.044938695275937385
2020-07-10,0.0941392686177823,0.07422219112956384,0.15979974974531902,0.04561986918043038,-0.5104198497690874,-0.7900094015489375,-0.36444495590489956,0.08474787289428211,0.09703872959016213,-0.19374609637229995,-0.10194789374481375,0.3262879325483542,-0.18581772539493974
2020-07-17,0.10480196949564735,0.08163585964114496,0.17001371719219016,0.06479710487776015,-0.6123343650675281,-0.8572547961735406,-0.3879891407215176,0.16447043574923018,0.1057010231455693,-0.2182920379455312,-0.08729128830515367,0.38219495993158625,-0.2621516273151522
