date,equity
2020-01-02,1.0
2020-01-03,1.0
2020-01-05,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-12,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-19,1.0
2020-01-20,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-26,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,1.0
2020-02-05,1.0
2020-02-06,1.0
2020-02-07,1.0
2020-02-09,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,1.0
2020-02-28,1.0
2020-03-01,1.0
2020-03-02,1.0
2020-03-03,1.0
2020-03-04,1.0
2020-03-05,1.0
2020-03-06,1.0
2020-03-08,1.0
2020-03-09,1.0
2020-03-10,1.0
2020-03-11,1.0
2020-03-12,1.0
2020-03-13,1.0
2020-03-15,1.0
2020-03-16,1.0
2020-03-17,1.0
2020-03-18,1.0
2020-03-19,1.0
2020-03-20,0.973058962644068
2020-03-22,0.9522780614255527
2020-03-23,0.9554756506026518
2020-03-24,0.9731753142490933
2020-03-25,0.9728229009229166
2020-03-26,0.9820583497785644
2020-03-27,0.9838677822476861
2020-03-29,0.9807800824459619
2020-03-30,0.9856631677567059
2020-03-31,0.9752275168895752
2020-04-01,0.969426791919013
2020-04-02,0.9691065156617087
2020-04-03,0.9639999922425068
2020-04-05,0.9660279192367279
2020-04-06,0.9752803153387797
2020-04-07,0.9837334514986756
2020-04-08,0.9907565854568111
2020-04-09,0.9925695226570599
2020-04-10,0.9953963945129837
2020-04-12,0.9950034912682851
