,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2020-03-20,0.0932561406588663,0.05455228867301741,0.06698888128716911,-0.4543217118176874,-0.6449609308132801,-0.6665049605290905,-0.12453028116021556,0.038481747201968425,0.0015389804257381293,0.007193103566066268,0.27932880297321955,0.14217231345349648,0.2802447899873649
2020-03-27,0.055181584226615524,0.02644068402998586,0.07339078317244177,-0.36157260046871154,-0.6232288835701418,-0.6902328620452153,-0.13156070759386282,0.14677493304937006,-0.012703725097018465,-0.0030149041549350566,0.2563805370892185,0.16996047563629846,0.37893691332696133
2020-04-03,0.05827227208466472,0.04034011841357628,0.04600456850840973,-0.43821693887612473,-0.5945911691713888,-0.6213854490954943,-0.11312553113383787,0.033406781872020286,-0.014348859999271402,0.02446893718090381,0.2537166420516598,0.19381335943076414,0.4729820279579115
2020-04-10,0.09074505199219315,0.04745377518824327,0.051766431139063596,-0.5547463670012545,-0.5902344478607621,-0.5813181050837236,-0.11679012952957771,0.044460731665197276,0.012556621670982858,-0.03789884428912297,0.17358333228534809,0.18833028794049422,0.36889201330406735
2020-04-17,0.09995412712843182,0.04714347663395207,0.05834985116369941,-0.5400813688159977,-0.570177915460924,-0.5770920467789912,-0.07103553708436036,-0.1348903185281586,0.02733223991376201,-0.12283521684051861,0.14034651386762179,0.22381311856170916,0.4054745542624421
2020-04-24,0.12456563911261873,0.07141193291990706,0.053195851700007526,-0.41471487053919404,-0.539975646720139,-0.58251202658634,-0.12172345634773492,-0.15807050726647184,0.03215438020242472,-0.18357182283663762,0.2163085937612998,0.2402090418102744,0.3522821262499262
2020-05-01,0.11426636799112341,0.0821661652676772,0.057961961803342205,-0.343694530191016,-0.4155827050438443,-0.6742389353191004,-0.16572658387363906,-0.1669518431973167,0.03286790341580494,-0.15620213778134315,0.23686293816220072,0.24131422556231164,0.2678691304581214
2020-05-08,0.1115801747534721,0.0817735401738379,0.06449940279680037,-0.21183344591817266,-0.2683354471632971,-0.7535466246640435,-0.19319502292973784,-0.15693159516035587,0.03229066242116029,-0.16623924870497578,0.2516194809676029,0.18289729184344067,0.278560324099229
2020-05-15,0.10444539585492794,0.08743076141598978,0.08695549535097662,-0.12634062134724944,-0.2698788361910047,-0.7654639845110366,-0.2472444406145355,-0.21794315978751622,0.04764469691446091,-0.11215074290221735,0.19421836232831363,0.09417007558286976,0.24339384774760234
2020-05-22,0.08812230518276055,0.07408349405175042,0.14059456713474022,-0.17613208513105721,-0.23724885062571882,-0.6284015249607664,-0.30607840591064084,-0.1944926298022164,0.04119199910946306,-0.0904299195201443,0.162441778196794,0.07975243829281743,0.2028394243571845
2020-05-29,0.0704538721833195,0.059626705307722516,0.1900456623337704,-0.12647100639492248,-0.16741627814868368,-0.5227236221676076,-0.3671469927853094,-0.18853583360162468,0.034377246916743175,-0.0754289317640206,0.12344856739989463,0.060044359131045395,0.15712970828878756
2020-06-05,0.08797081581585942,0.07024569659499062,0.15679127015782182,-0.21868962187146315,-0.3146009142920261,-0.5693758131103193,-0.3243106627857906,-0.1276763565489572,0.046322984057557554,-0.07698533379741768,0.11985276666263793,0.08799068821804823,0.1533155539977961
2020-06-12,0.10613623628291474,0.07063055224492376,0.14834398918592417,-0.3039523532120607,-0.4375124182986474,-0.613207932302287,-0.29265276891385233,-0.07913449158479555,0.05783403642489511,-0.08817052470736814,0.0556993490676007,0.12583353736495284,0.16941937351439354
2020-06-19,0.1342203833519415,0.082704176026945,0.15225079787433096,-0.2390973040636891,-0.5000825930073204,-0.7211443081207154,-0.30319326536824526,-0.015306276151852385,0.06432618769071337,-0.1203494946253929,0.014809173184994813,0.16008263893225835,0.137024663250412
2020-06-26,0.0995875859648929,0.058272533937557824,0.17200869955134468,-0.11455580048739342,-0.44997100743067203,-0.72915919625974,-0.3231236887971738,0.040096738098429084,0.07035899758173363,-0.1435916312770149,-0.004805078260588572,0.2152132585779492,0.07786823700895673
2020-07-03,0.09924741658449737,0.06609990948059688,0.15743162395984414,0.015127051447872575,-0.4096113066805036,-0.7130187879989445,-0.3151518845113247,0.0478802111742901,0.08042601082559733,-0.15697291528802593,-0.08286611113827524,0.24386647742960346,-0.06728635518395254
2020-07-10,0.11868938605566301,0.0892181651191684,0.16456780068614135,0.026202501167701717,-0.47973522507312394,-0.768986460451669,-0.35145049943006934,0.03668166585669108,0.10159464860709463,-0.1736040480695782,-0.11325303245208715,0.2996468997519129,-0.20895863834722958
2020-07-17,0.13507493030441453,0.09870684476329347,0.1733870432492298,0.04413339238938571,-0.5960104588849133,-0.8372182574852378,-0.37485089948072176,0.10312568200903507,0.11232637155551366,-0.19327519713716362,-0.09630597905309146,0.3496314522690653,-0.2846483556890733
2020-07-24,0.13692149269884235,0.08523325908210522,0.1866661080108475,-0.0652429957608374,-0.6550766495149276,-0.836830143046968,-0.3690454325793318,0.20530137952289987,0.12497126174535317,-0.20904059559077132,-0.06336079928007948,0.3934781414450716,-0.37403512762561203
2020-07-31,0.13941814186822477,0.06078938663642386,0.2099297465386481,-0.17614615656169053,-0.7127038908831193,-0.8226999451780529,-0.36152433173980353,0.30972187006293334,0.13792272605781708,-0.21731342865787615,-0.08411505028118763,0.43120491863248195,-0.4495234504971388
2020-08-07,0.1602679443609286,0.044751155098093326,0.22161557840549187,-0.29075820227456145,-0.7510090797786317,-0.8081009425524756,-0.34594918475085207,0.40506090294099417,0.14535696944031068,-0.20748785541225873,-0.10452281895767883,0.4526353554491706,-0.5634211453769968
2020-08-14,0.17171251540758886,0.030946269010524614,0.2361881624992391,-0.38023703597277936,-0.7921810624306029,-0.8048787307973683,-0.3370652833512274,0.5491186311342493,0.14611552922224524,-0.1867397729587177,-0.15914402434821817,0.46748044155664303,-0.6458115127173569
2020-08-21,0.19066377570029058,0.025939204663662563,0.2515380225215313,-0.40672139115971284,-0.7995572085987035,-0.7774775613988647,-0.3023954496180082,0.6429881675763685,0.13812240899749453,-0.16323699053848428,-0.2823889001662882,0.4352924538037027,-0.7297735209106307
2020-08-28,0.205772081389733,0.03518898840094613,0.2392295446803904,-0.47283745652438924,-0.7791975339215004,-0.7249889916127842,-0.26704879489283023,0.6592872769038625,0.12031209420066756,-0.0882936461181092,-0.38555333918900975,0.398486315314582,-0.7697726430330878
2020-09-04,0.23371095606169323,0.06512945990983524,0.22833893073027273,-0.5396817804727297,-0.7473982404328428,-0.6667262596579244,-0.23969670574568644,0.7045447917221369,0.11082205756196449,-0.0806116982653811,-0.4618666105411394,0.32074226104791487,-0.8002574194346166
2020-09-11,0.26598724726278883,0.08927001094768658,0.2092819830197356,-0.6672827245965047,-0.7516404079981547,-0.5726588434961974,-0.22023949304481985,0.6451109739178001,0.1028843768616442,-0.07806745510113905,-0.45456792247318484,0.2732358830787452,-0.7458197576418043
2020-09-18,0.334573192778162,0.10508004761094887,0.1914600674663868,-0.7972760400951587,-0.7838392456812182,-0.584152780261335,-0.21559212375545186,0.6719400993267949,0.10245636256797053,-0.12188485963349904,-0.3831112648366626,0.24703008470341514,-0.6951081148568924
2020-09-25,0.3902293778224004,0.10463609000763907,0.19615033036198132,-0.8396856172300632,-0.718583368001009,-0.5472713008080164,-0.19808373737311008,0.5459876403422499,0.09868576766710999,-0.13998393055919794,-0.327668606776455,0.1857626399267161,-0.7077301610149646
2020-10-02,0.43301699367916224,0.0731685797766051,0.18624946887147048,-0.8559400641034802,-0.7156555454707137,-0.5534902342481729,-0.23125197956339083,0.40705594736558987,0.1106913587871547,-0.13697008472899674,-0.21732959382446637,0.2590077101563497,-0.7274695152939803
2020-10-09,0.4358469894434888,0.018905074056960437,0.18369226315606696,-0.8347559801914989,-0.7341788239495317,-0.6009538727829827,-0.29188514308319385,0.4867937231479679,0.12825608735558197,-0.10660136978999807,-0.1749632532395953,0.3509546640506611,-0.7580301298802069
2020-10-16,0.4370830154974275,-0.0238441845025041,0.15197069038857672,-0.8283288608504118,-0.7543921226994271,-0.6526639994675563,-0.3445518445274549,0.49112263692179725,0.13596268954197122,-0.04099037842092293,-0.10110185990463506,0.4656985860920871,-0.7310060561865975
2020-10-23,0.42475602163261267,-0.046462452254723036,0.12321742428763272,-0.7488205565199393,-0.740802851217431,-0.6628723945606595,-0.3695989837398038,0.5280828910688092,0.14212719469184232,0.02826888159224758,-0.1306089969973146,0.5457887251683662,-0.8169731228716867
2020-10-30,0.40759076782296316,-0.03684067823095488,0.09107993727917355,-0.8578288809453427,-0.7406709964859388,-0.6456025940797065,-0.3455579912471547,0.4019184438168335,0.14549475341226406,0.11468703271235652,-0.12266454581236723,0.5427133425212938,-0.7533186007685873
2020-11-06,0.3967976443717087,-0.017660061228789884,0.07921593115197723,-0.878176697733365,-0.6954342870843198,-0.5745688739174624,-0.299703785387891,0.27245641222712713,0.14520779352091237,0.1289756960133156,-0.14517220694969352,0.47088000788425816,-0.7160074501167314
2020-11-13,0.3795677895013405,-0.0009790725828926448,0.07754478752942005,-0.8726082300462906,-0.6575555150957885,-0.5009121585960716,-0.24843797837532267,0.18666870649561634,0.14954497916652784,0.11354554279477065,-0.20419379207786642,0.39052610346100924,-0.6648897334122118
2020-11-20,0.3632175271093038,0.019763466312232084,0.08010628567617117,-0.8575502178433532,-0.6237451203561151,-0.43864390917286256,-0.20040678502747303,0.09735645818284604,0.15240978042894984,0.08879529526283134,-0.2609688538645274,0.3181174246361859,-0.6098229202784098
2020-11-27,0.3502744506637256,0.03995532524595122,0.07941011213804822,-0.8334182407133963,-0.587207540130678,-0.360420391223495,-0.14912329207942407,0.02366779014944291,0.15488144761994257,0.07108857879208882,-0.34171048955985545,0.24581517276843928,-0.5807415367068536
2020-12-04,0.34890961163647366,0.06344675916530802,0.06894879308100266,-0.8054039646314954,-0.5481978607627237,-0.2795271906907951,-0.09837870607564445,-0.06253972460766118,0.1561655446318612,0.05274094216873243,-0.4298323937898729,0.1942644569060633,-0.5602327391816152
2020-12-11,0.34346936261355526,0.07976649763637603,0.0598105075620186,-0.7790692002937483,-0.4965442164891416,-0.17972949585389708,-0.05145979883203168,-0.1265830888718755,0.15422755898427623,0.047462404318145156,-0.5112884832234685,0.12093308691454861,-0.5418833700739227
2020-12-18,0.3377502898486787,0.0965210556321141,0.04594661869604032,-0.7307534328703437,-0.4244699128064464,-0.08908239908896831,-0.013660026860620123,-0.1827820483442857,0.14890176068796804,0.03959710151405631,-0.5887018373213637,0.06617418016997105,-0.5286201509582358
2020-12-25,0.3340531651865938,0.11133557729957677,0.028380117966462306,-0.6802073527049307,-0.3510795793990732,-0.002577303288082533,0.02112223126099365,-0.27266981402686835,0.1450203474309223,0.0319834441343343,-0.640077399845041,0.020392112102370893,-0.5084625324232749
2021-01-01,0.3459103119633374,0.1427343195543553,0.014919084460879957,-0.6272612566851935,-0.2988744009733736,0.06345708230524351,0.049859235168674146,-0.3554662480371352,0.13525048142320167,0.013268466457700391,-0.7018694766881267,-0.020317484624793526,-0.4788850701716942
2021-01-08,0.36827997027627063,0.1756054936391065,0.0028809492434148133,-0.5840293881163621,-0.2548930795463088,0.13325138014232984,0.08815308565089788,-0.38820983189510216,0.11786432783613969,-0.004790465527152777,-0.7732612734728592,-0.08319688714462523,-0.44392524483649637
2021-01-15,0.36696739466739325,0.20211157867373736,-0.003339710353959649,-0.5569245098412233,-0.22631109264572338,0.1922358073548144,0.13532334528432882,-0.3170817463334502,0.09620181831469936,-0.015654114329528734,-0.8363249374807569,-0.17431805607670625,-0.39764519392446546
2021-01-22,0.37837269264822393,0.24269128937705411,-0.02470263396617297,-0.5191423212199864,-0.20582077987748154,0.25330179085302307,0.1878958972027305,-0.37011375832102406,0.08034149911789798,-0.009936857914384839,-0.8854985784882412,-0.2623229882730653,-0.354692323830278
2021-01-29,0.43741714554970185,0.32047528548446835,-0.03320470471976028,-0.552630958148715,-0.24332055675757824,0.25278296989308047,0.22305023981019687,-0.46631712857684826,0.06033429970319554,-0.013495787269319335,-0.8919333344771189,-0.34417703933420785,-0.31474272704447315
2021-02-05,0.42150957238806175,0.3859796339449135,-0.024554578778616384,-0.5855997464327517,-0.2624015307483687,0.29108975437339807,0.2720979368643216,-0.5524177051157925,0.04961176545519255,-0.02376866054319246,-0.9034165801216107,-0.4404118212496925,-0.2590230300377687
2021-02-12,0.3902723747185257,0.4489429102078777,-0.0053658224548173775,-0.614832631049465,-0.29161986163316495,0.2672926195317276,0.3203609536866309,-0.6010307026051824,0.053594347067564274,-0.054679016436291354,-0.9116955985897148,-0.5399068948016131,-0.19420365447444238
2021-02-19,0.2863318963463458,0.4233724708421235,0.01015275579766539,-0.6580687876155128,-0.2778310302986682,0.3011754565953404,0.4004469217069445,-0.6138107255486686,0.08674754395117276,-0.074045778751066,-0.9293088581305177,-0.6060677976056298,-0.15930108793601905
2021-02-26,0.19802273612414184,0.3783173184859919,0.02169887974878283,-0.6415382245456921,-0.25156104034046745,0.3484980857340078,0.43728998217993703,-0.593879766045022,0.12016872806191653,-0.06793229434059037,-0.9956852641462147,-0.6647120358066644,-0.11566403934675101
2021-03-05,0.12285059690881726,0.32246052347826715,0.03660768309439953,-0.6321246148798486,-0.2636240550913268,0.3099968978047155,0.4398419506919562,-0.4408245465533646,0.15636869397182807,-0.04699567849009294,-1.0613642548370632,-0.6698093547177035,-0.1262284100661169
2021-03-12,0.04261595709834669,0.24770355264369473,0.05149462637020177,-0.6430677880310538,-0.30596018233951244,0.26826769380564336,0.4598176176804182,-0.3881378060999853,0.18172211224175633,0.007433071285768568,-1.0555314800945574,-0.6070076077973421,-0.1402622545963106
2021-03-19,0.032895649811108596,0.2117054847220653,0.06025594268644756,-0.6731210238427978,-0.37050384002468056,0.20598620283352037,0.4348883045239129,-0.35263384780494555,0.1896899730843122,0.040691476098852396,-0.9660229956868907,-0.5407281287884482,-0.1714566780784166
2021-03-26,0.04615771365610365,0.1966157453015827,0.0635453073267215,-0.6850431950315993,-0.43413874779804884,0.135813135785329,0.4179706361215507,-0.28575989130853113,0.1927997105929824,0.05776730717549563,-0.8764667807396799,-0.49459988418003487,-0.2544237111225897
2021-04-02,0.08987430319590316,0.1930458977652203,0.05236381007360773,-0.6559927320814722,-0.4821573026093796,0.10105027894402879,0.40447840600686963,-0.21998555857447463,0.18943490850491077,0.10331077298606717,-0.8232705444465553,-0.5080563576027517,-0.38929636172733384
2021-04-09,0.13711861884679327,0.1902937423882213,0.07885704261925996,-0.6374387792560301,-0.4978253921555995,0.027673381430646057,0.37612804068063105,-0.20953751626368045,0.16123019107014763,0.17875036807598482,-0.760450619978842,-0.5477803428689658,-0.46022108837310677
2021-04-16,0.2031061533541759,0.22495516204111832,0.1107064695092336,-0.6236054423864023,-0.5612062589450074,-0.014463009937301409,0.395638047096713,-0.24826627834162382,0.10430445191037702,0.25562633084801634,-0.7610420350269943,-0.5982855762518149,-0.46523499343904134
2021-04-23,0.15120508120102533,0.21097382918957455,0.11707996500790288,-0.5765333963873692,-0.5100013741430985,0.0610086967253913,0.4422272616895516,-0.22378912761146327,0.07390361082134476,0.2700632183563936,-0.7839434990075762,-0.658476194773967,-0.41023570782918223
2021-04-30,0.09878689706297634,0.18238726044437123,0.1067766814237193,-0.5194389998210872,-0.4471513232068569,0.14816169362793594,0.47569626934457354,-0.19728266804895098,0.05116861492045957,0.2719757294077165,-0.7791177103844387,-0.6947816059567574,-0.3343953626773567
2021-05-07,0.11660123145705563,0.18961131050051308,0.06498367975269471,-0.4578891052360126,-0.4260207483653777,0.20690791317190355,0.5218965313196886,-0.18980184140990453,0.026400662540000376,0.28334394527565837,-0.7872358985265722,-0.7935325608875432,-0.23933983770460573
2021-05-14,0.09377602970025191,0.15541164753448597,0.028513168519606273,-0.43222690161341126,-0.3783515514921161,0.3134572561324554,0.5596740772592914,-0.163984851466565,0.004165518156632086,0.2892261656073342,-0.7572755469573409,-0.8138785654391325,-0.1547342138357468
2021-05-21,0.09854247144977145,0.15227047328507942,-0.018483727106501674,-0.5204654115926033,-0.44799224994509335,0.3143276260039991,0.5897012817342437,-0.1344149887360098,0.0085986053625896,0.27819249976629723,-0.6704426868979285,-0.7260159290078514,-0.11814762050768934
2021-05-28,0.10040685410024,0.1509665657723803,-0.06033913189194498,-0.5709555030839215,-0.44449695934164646,0.39821356289251364,0.6233191965741245,-0.18309183446803262,-0.005945380491968948,0.35429085790373954,-0.6141776466117561,-0.6956573954590893,-0.1756919281769596
2021-06-04,0.0864188489127651,0.11712963274889229,-0.09865305812210992,-0.6173833598260321,-0.46206564031724856,0.4608673601694759,0.6376328087423163,-0.19265204831991917,-0.006275501872882848,0.43373792875180484,-0.5577632075704902,-0.6395266268349188,-0.24670650282666307
2021-06-11,0.05396864336158638,0.08567551992558217,-0.1303714259488359,-0.6730132014887716,-0.4859729594743407,0.4751328279156858,0.610336066021523,-0.17248258631955038,-0.0006936368954483197,0.4881987465307398,-0.5019401911152342,-0.5535907594010931,-0.1853995889605327
2021-06-18,0.0019839114722706996,0.050228051355115606,-0.1520610221979014,-0.7064018645668609,-0.4713447711136891,0.4941982973743842,0.5760577013387085,-0.13727629108565467,0.0015025395942467054,0.5443198322560552,-0.4550988419842519,-0.48348779040292356,-0.10634994682769239
2021-06-25,-0.07431336022717443,-0.0005299703075690027,-0.1746946138875881,-0.7088767582467386,-0.4387497045772042,0.5431169055025705,0.5602978429933427,-0.030447778695783162,0.018914407083762335,0.5712866960807312,-0.43454229672521055,-0.41798130474358475,-0.09305753319186671
2021-07-02,-0.14473819734645085,-0.0459597434320269,-0.19389400413366864,-0.7066760297206306,-0.4279600636039925,0.5555058150630929,0.5194186268681943,0.03020315027641266,0.041306532969547755,0.6056131676895721,-0.340487859040772,-0.3559927388687922,-0.06778255889272528
2021-07-09,-0.19158920457007375,-0.07851490313010057,-0.20318487758384707,-0.7331885160545513,-0.44610784579342694,0.5215451569471818,0.46765818879498083,0.08823119171136115,0.06470350650952707,0.6475297693536849,-0.27089751115850524,-0.28604618028623463,-0.04973948708094506
2021-07-16,-0.24247511249943665,-0.11636893532881853,-0.209630278222109,-0.7169671955767467,-0.4328402834073221,0.4945434332513507,0.406648001488848,0.14576313224817736,0.07914421287298853,0.6895205052140206,-0.20010830943885133,-0.21607647372203864,-0.01714791275762447
2021-07-23,-0.277556873938905,-0.13924406309923237,-0.21515609775065042,-0.7350923740507005,-0.4539943398961782,0.4578225184542563,0.33928421547378257,0.2535562209905625,0.10491711808673493,0.7474220942293333,-0.14151686446034417,-0.1935741885247028,-0.037739955096943965
2021-07-30,-0.30166808166338077,-0.161126678218482,-0.22062119102819827,-0.6566966048733417,-0.337359028565015,0.509109044465763,0.2908466790217142,0.2583584495781842,0.11880002984201475,0.7455387437509283,-0.12133235406620776,-0.23363349794224353,0.03523367517670203
2021-08-06,-0.32879087316772093,-0.18762695989220612,-0.20339763645227066,-0.6105878038023653,-0.24804448696971654,0.5030541907768876,0.23110915320149067,0.3980643467603594,0.10774506683473546,0.7415917108035491,-0.11005580090383937,-0.2761251148010277,0.05469526208935016
2021-08-13,-0.3153619513303532,-0.1914606194077825,-0.22467497709246673,-0.6708276153524962,-0.2315924820445316,0.5069233000151372,0.16308497229963378,0.3106651390093207,0.11581034601520832,0.784166984309127,0.013381742290265328,-0.29038338205282177,0.01755586158090096
