date,instrument,weight
2024-01-05,6B_FRONT_CALENDAR,-0.33589408
2024-01-05,6E_FRONT_CALENDAR,-0.73490779
2024-01-05,6J_FRONT_CALENDAR,-0.36047713
2024-01-05,CL_FRONT_VOLUME,-0.24799720
2024-01-05,ES_FRONT_CALENDAR_2D,0.12310877
2024-01-05,GC_FRONT_VOLUME,-0.21637422
2024-01-05,NQ_FRONT_CALENDAR_2D,-0.01312438
2024-01-05,RTY_FRONT_CALENDAR_2D,0.04788368
2024-01-05,SR3_FRONT_CALENDAR,-0.69463236
2024-01-05,UB_FRONT_VOLUME,0.18063437
2024-01-05,ZF_FRONT_VOLUME,1.12891794
2024-01-05,ZN_FRONT_VOLUME,0.55805779
2024-01-05,ZT_FRONT_VOLUME,1.50000000
