date,leverage
2021-01-01,4.00000000
2021-01-08,4.00000000
2021-01-15,4.00000000
2021-01-22,4.00000000
2021-01-29,4.00000000
2021-02-05,4.00000000
2021-02-12,4.00000000
2021-02-19,4.00000000
2021-02-26,4.00000000
2021-03-05,4.00000000
2021-03-12,4.00000000
2021-03-19,1.00000000
2021-03-26,3.77907853
2021-04-02,1.35771793
2021-04-09,3.23138543
2021-04-16,1.85843512
2021-04-23,3.13387530
2021-04-30,2.08091325
2021-05-07,2.94096523
2021-05-14,2.32311255
2021-05-21,2.94402946
2021-05-28,2.41553992
2021-06-04,2.99261695
2021-06-11,3.51872837
2021-06-18,3.28439250
2021-06-25,3.26148270
2021-07-02,3.21882402
2021-07-09,2.99690098
2021-07-16,2.83681861
2021-07-23,2.63030563
2021-07-30,2.99019792
2021-08-06,3.02690882
2021-08-13,2.99289502
2021-08-20,2.87861212
2021-08-27,2.85944893
2021-09-03,3.41275721
2021-09-10,3.03261858
2021-09-17,3.51649013
2021-09-24,2.94306363
2021-10-01,3.20042581
2021-10-08,3.08361254
2021-10-15,3.39297980
2021-10-22,3.29063016
2021-10-29,3.25435458
2021-11-05,2.62028655
2021-11-12,3.01989824
2021-11-19,2.48368022
2021-11-26,2.71477201
2021-12-03,2.26409234
2021-12-10,2.44282597
2021-12-17,4.00000000
2021-12-24,2.67466335
2021-12-31,4.00000000
2022-01-07,1.80306291
2022-01-14,3.72243849
2022-01-21,1.86053944
2022-01-28,2.15841618
2022-02-04,4.00000000
2022-02-11,1.19232971
2022-02-18,1.72985422
2022-02-25,4.00000000
2022-03-04,1.00000000
2022-03-11,1.97639299
2022-03-18,1.16740251
2022-03-25,1.87339843
2022-04-01,1.50559444
2022-04-08,2.11162258
2022-04-15,1.85041763
2022-04-22,1.71769493
2022-04-29,1.45015842
2022-05-06,1.45645018
2022-05-13,1.29773847
2022-05-20,1.50461340
2022-05-27,1.68336300
2022-06-03,1.70128512
2022-06-10,1.87557120
2022-06-17,1.66803549
2022-06-24,1.93564030
2022-07-01,2.22584013
2022-07-08,2.24200615
2022-07-15,2.87203389
2022-07-22,2.40824669
2022-07-29,2.80269192
2022-08-05,2.35680839
2022-08-12,2.48078762
2022-08-19,2.17882759
2022-08-26,2.20808069
2022-09-02,2.16372224
2022-09-09,2.25007541
2022-09-16,2.61776281
2022-09-23,3.11870394
2022-09-30,2.01304047
2022-10-07,3.84361505
2022-10-14,1.98056597
2022-10-21,3.55580607
2022-10-28,1.95466670
2022-11-04,3.01656096
2022-11-11,1.78092191
2022-11-18,2.69757916
2022-11-25,1.81639261
2022-12-02,2.79486213
2022-12-09,1.85435184
2022-12-16,2.97157823
2022-12-23,2.21563165
2022-12-30,2.39906845
2023-01-06,2.07734469
2023-01-13,2.17277378
2023-01-20,2.01911758
2023-01-27,2.14994158
