date,instrument,weight
2021-01-01,6B_FRONT_CALENDAR,-0.08855507
2021-01-01,6E_FRONT_CALENDAR,-0.13863772
2021-01-01,6J_FRONT_CALENDAR,-0.12758918
2021-01-01,CL_FRONT_VOLUME,-0.01523971
2021-01-01,ES_FRONT_CALENDAR_2D,-0.04296004
2021-01-01,GC_FRONT_VOLUME,-0.04912150
2021-01-01,NQ_FRONT_CALENDAR_2D,-0.03534489
2021-01-01,RTY_FRONT_CALENDAR_2D,1.00830755
2021-01-01,SR3_FRONT_CALENDAR,-0.17122980
2021-01-01,UB_FRONT_VOLUME,-1.64305826
2021-01-01,ZF_FRONT_VOLUME,0.30211254
2021-01-01,ZN_FRONT_VOLUME,-0.17122980
2021-01-01,ZT_FRONT_VOLUME,0.20661393
2021-01-08,6B_FRONT_CALENDAR,-0.07528904
2021-01-08,6E_FRONT_CALENDAR,-0.13054075
2021-01-08,6J_FRONT_CALENDAR,-0.11308566
2021-01-08,CL_FRONT_VOLUME,-0.00948022
2021-01-08,ES_FRONT_CALENDAR_2D,-0.03314207
2021-01-08,GC_FRONT_VOLUME,-0.05790424
2021-01-08,NQ_FRONT_CALENDAR_2D,-0.02729635
2021-01-08,RTY_FRONT_CALENDAR_2D,1.03008883
2021-01-08,SR3_FRONT_CALENDAR,-0.16889576
2021-01-08,UB_FRONT_VOLUME,-1.68960435
2021-01-08,ZF_FRONT_VOLUME,0.25212442
2021-01-08,ZN_FRONT_VOLUME,-0.24242871
2021-01-08,ZT_FRONT_VOLUME,0.17011961
2021-01-15,6B_FRONT_CALENDAR,-0.05743646
2021-01-15,6E_FRONT_CALENDAR,-0.13264902
2021-01-15,6J_FRONT_CALENDAR,-0.09569641
2021-01-15,CL_FRONT_VOLUME,-0.00299240
2021-01-15,ES_FRONT_CALENDAR_2D,-0.02267823
2021-01-15,GC_FRONT_VOLUME,-0.06898321
2021-01-15,NQ_FRONT_CALENDAR_2D,-0.02052872
2021-01-15,RTY_FRONT_CALENDAR_2D,1.05445124
2021-01-15,SR3_FRONT_CALENDAR,-0.16516996
2021-01-15,UB_FRONT_VOLUME,-1.73507686
2021-01-15,ZF_FRONT_VOLUME,0.19610483
2021-01-15,ZN_FRONT_VOLUME,-0.31786070
2021-01-15,ZT_FRONT_VOLUME,0.13037196
2021-01-22,6B_FRONT_CALENDAR,-0.03790989
2021-01-22,6E_FRONT_CALENDAR,-0.13318660
2021-01-22,6J_FRONT_CALENDAR,-0.08403018
2021-01-22,CL_FRONT_VOLUME,0.00355683
2021-01-22,ES_FRONT_CALENDAR_2D,-0.00905308
2021-01-22,GC_FRONT_VOLUME,-0.08406505
2021-01-22,NQ_FRONT_CALENDAR_2D,-0.01130950
2021-01-22,RTY_FRONT_CALENDAR_2D,1.07153977
2021-01-22,SR3_FRONT_CALENDAR,-0.15556720
2021-01-22,UB_FRONT_VOLUME,-1.77004855
2021-01-22,ZF_FRONT_VOLUME,0.13559671
2021-01-22,ZN_FRONT_VOLUME,-0.40062817
2021-01-22,ZT_FRONT_VOLUME,0.10350849
2021-01-29,6B_FRONT_CALENDAR,0.00760320
2021-01-29,6E_FRONT_CALENDAR,-0.13277598
2021-01-29,6J_FRONT_CALENDAR,-0.08226967
2021-01-29,CL_FRONT_VOLUME,0.01372810
2021-01-29,ES_FRONT_CALENDAR_2D,-0.00738280
2021-01-29,GC_FRONT_VOLUME,-0.10710416
2021-01-29,NQ_FRONT_CALENDAR_2D,-0.01065240
2021-01-29,RTY_FRONT_CALENDAR_2D,1.06693439
2021-01-29,SR3_FRONT_CALENDAR,-0.13346171
2021-01-29,UB_FRONT_VOLUME,-1.76561685
2021-01-29,ZF_FRONT_VOLUME,0.07693934
2021-01-29,ZN_FRONT_VOLUME,-0.48404642
2021-01-29,ZT_FRONT_VOLUME,0.11148498
2021-02-05,6B_FRONT_CALENDAR,0.04459940
2021-02-05,6E_FRONT_CALENDAR,-0.14975169
2021-02-05,6J_FRONT_CALENDAR,-0.10939539
2021-02-05,CL_FRONT_VOLUME,0.02513803
2021-02-05,ES_FRONT_CALENDAR_2D,0.00317457
2021-02-05,GC_FRONT_VOLUME,-0.12569077
2021-02-05,NQ_FRONT_CALENDAR_2D,-0.00114855
2021-02-05,RTY_FRONT_CALENDAR_2D,1.01951953
2021-02-05,SR3_FRONT_CALENDAR,-0.11915132
2021-02-05,UB_FRONT_VOLUME,-1.70024002
2021-02-05,ZF_FRONT_VOLUME,0.02396538
2021-02-05,ZN_FRONT_VOLUME,-0.54359209
2021-02-05,ZT_FRONT_VOLUME,0.13463326
2021-02-12,6B_FRONT_CALENDAR,0.08693742
2021-02-12,6E_FRONT_CALENDAR,-0.15317288
2021-02-12,6J_FRONT_CALENDAR,-0.15099218
2021-02-12,CL_FRONT_VOLUME,0.03852515
2021-02-12,ES_FRONT_CALENDAR_2D,0.01675230
2021-02-12,GC_FRONT_VOLUME,-0.13943833
2021-02-12,NQ_FRONT_CALENDAR_2D,0.01116140
2021-02-12,RTY_FRONT_CALENDAR_2D,0.94358420
2021-02-12,SR3_FRONT_CALENDAR,-0.09846366
2021-02-12,UB_FRONT_VOLUME,-1.58967217
2021-02-12,ZF_FRONT_VOLUME,-0.04946839
2021-02-12,ZN_FRONT_VOLUME,-0.59283062
2021-02-12,ZT_FRONT_VOLUME,0.12900132
2021-02-19,6B_FRONT_CALENDAR,0.13097538
2021-02-19,6E_FRONT_CALENDAR,-0.14171919
2021-02-19,6J_FRONT_CALENDAR,-0.18698331
2021-02-19,CL_FRONT_VOLUME,0.04798449
2021-02-19,ES_FRONT_CALENDAR_2D,0.02842992
2021-02-19,GC_FRONT_VOLUME,-0.15390338
2021-02-19,NQ_FRONT_CALENDAR_2D,0.02045606
2021-02-19,RTY_FRONT_CALENDAR_2D,0.86886793
2021-02-19,SR3_FRONT_CALENDAR,-0.04671598
2021-02-19,UB_FRONT_VOLUME,-1.47523715
2021-02-19,ZF_FRONT_VOLUME,-0.13637245
2021-02-19,ZN_FRONT_VOLUME,-0.63591468
2021-02-19,ZT_FRONT_VOLUME,0.12644008
2021-02-26,6B_FRONT_CALENDAR,0.17070772
2021-02-26,6E_FRONT_CALENDAR,-0.12762453
2021-02-26,6J_FRONT_CALENDAR,-0.23655497
2021-02-26,CL_FRONT_VOLUME,0.05874635
2021-02-26,ES_FRONT_CALENDAR_2D,0.03810943
2021-02-26,GC_FRONT_VOLUME,-0.16812705
2021-02-26,NQ_FRONT_CALENDAR_2D,0.02149847
2021-02-26,RTY_FRONT_CALENDAR_2D,0.82722753
2021-02-26,SR3_FRONT_CALENDAR,0.02181899
2021-02-26,UB_FRONT_VOLUME,-1.39847049
2021-02-26,ZF_FRONT_VOLUME,-0.20957481
2021-02-26,ZN_FRONT_VOLUME,-0.66158482
2021-02-26,ZT_FRONT_VOLUME,0.05995486
2021-03-05,6B_FRONT_CALENDAR,0.20603526
2021-03-05,6E_FRONT_CALENDAR,-0.12648918
2021-03-05,6J_FRONT_CALENDAR,-0.27829160
2021-03-05,CL_FRONT_VOLUME,0.06832795
2021-03-05,ES_FRONT_CALENDAR_2D,0.04654453
2021-03-05,GC_FRONT_VOLUME,-0.17549441
2021-03-05,NQ_FRONT_CALENDAR_2D,0.01514704
2021-03-05,RTY_FRONT_CALENDAR_2D,0.76426504
2021-03-05,SR3_FRONT_CALENDAR,0.09533685
2021-03-05,UB_FRONT_VOLUME,-1.27665982
2021-03-05,ZF_FRONT_VOLUME,-0.27976951
2021-03-05,ZN_FRONT_VOLUME,-0.66135296
2021-03-05,ZT_FRONT_VOLUME,-0.00628585
2021-03-12,6B_FRONT_CALENDAR,0.22499623
2021-03-12,6E_FRONT_CALENDAR,-0.12557836
2021-03-12,6J_FRONT_CALENDAR,-0.33030737
2021-03-12,CL_FRONT_VOLUME,0.07360106
2021-03-12,ES_FRONT_CALENDAR_2D,0.06121734
2021-03-12,GC_FRONT_VOLUME,-0.17122743
2021-03-12,NQ_FRONT_CALENDAR_2D,0.01210172
2021-03-12,RTY_FRONT_CALENDAR_2D,0.67983155
2021-03-12,SR3_FRONT_CALENDAR,0.16144314
2021-03-12,UB_FRONT_VOLUME,-1.12287206
2021-03-12,ZF_FRONT_VOLUME,-0.32624810
2021-03-12,ZN_FRONT_VOLUME,-0.63693113
2021-03-12,ZT_FRONT_VOLUME,-0.07364450
2021-03-19,6B_FRONT_CALENDAR,0.05967544
2021-03-19,6E_FRONT_CALENDAR,-0.03449078
2021-03-19,6J_FRONT_CALENDAR,-0.09327457
2021-03-19,CL_FRONT_VOLUME,0.01866210
2021-03-19,ES_FRONT_CALENDAR_2D,0.01732554
2021-03-19,GC_FRONT_VOLUME,-0.03969516
2021-03-19,NQ_FRONT_CALENDAR_2D,0.00145028
2021-03-19,RTY_FRONT_CALENDAR_2D,0.15125885
2021-03-19,SR3_FRONT_CALENDAR,0.06269500
2021-03-19,UB_FRONT_VOLUME,-0.24566677
2021-03-19,ZF_FRONT_VOLUME,-0.08992365
2021-03-19,ZN_FRONT_VOLUME,-0.15075221
2021-03-19,ZT_FRONT_VOLUME,-0.03512963
2021-03-26,6B_FRONT_CALENDAR,0.22609054
2021-03-26,6E_FRONT_CALENDAR,-0.21597152
2021-03-26,6J_FRONT_CALENDAR,-0.45786503
2021-03-26,CL_FRONT_VOLUME,0.06781124
2021-03-26,ES_FRONT_CALENDAR_2D,0.10112872
2021-03-26,GC_FRONT_VOLUME,-0.12190870
2021-03-26,NQ_FRONT_CALENDAR_2D,0.00405257
2021-03-26,RTY_FRONT_CALENDAR_2D,0.41232241
2021-03-26,SR3_FRONT_CALENDAR,0.39905589
2021-03-26,UB_FRONT_VOLUME,-0.61326172
2021-03-26,ZF_FRONT_VOLUME,-0.41774024
2021-03-26,ZN_FRONT_VOLUME,-0.51323342
2021-03-26,ZT_FRONT_VOLUME,-0.22863655
2021-04-02,6B_FRONT_CALENDAR,0.07935719
2021-04-02,6E_FRONT_CALENDAR,-0.09376708
2021-04-02,6J_FRONT_CALENDAR,-0.17888993
2021-04-02,CL_FRONT_VOLUME,0.02219643
2021-04-02,ES_FRONT_CALENDAR_2D,0.04228279
2021-04-02,GC_FRONT_VOLUME,-0.02790135
2021-04-02,NQ_FRONT_CALENDAR_2D,0.00392985
2021-04-02,RTY_FRONT_CALENDAR_2D,0.12822199
2021-04-02,SR3_FRONT_CALENDAR,0.15606740
2021-04-02,UB_FRONT_VOLUME,-0.18645285
2021-04-02,ZF_FRONT_VOLUME,-0.15930109
2021-04-02,ZN_FRONT_VOLUME,-0.17819213
