date,instrument,weight
2021-01-01,6B_FRONT_CALENDAR,-0.03496437
2021-01-01,6E_FRONT_CALENDAR,-0.05473860
2021-01-01,6J_FRONT_CALENDAR,-0.05037629
2021-01-01,CL_FRONT_VOLUME,-0.00601713
2021-01-01,ES_FRONT_CALENDAR_2D,-0.01696200
2021-01-01,GC_FRONT_VOLUME,-0.01939474
2021-01-01,NQ_FRONT_CALENDAR_2D,-0.01395529
2021-01-01,RTY_FRONT_CALENDAR_2D,0.39811206
2021-01-01,SR3_FRONT_CALENDAR,-0.06760700
2021-01-01,UB_FRONT_VOLUME,-0.64873193
2021-01-01,ZF_FRONT_VOLUME,0.11928369
2021-01-01,ZN_FRONT_VOLUME,-0.06760700
2021-01-01,ZT_FRONT_VOLUME,0.08157779
2021-01-08,6B_FRONT_CALENDAR,-0.06775785
2021-01-08,6E_FRONT_CALENDAR,-0.11748271
2021-01-08,6J_FRONT_CALENDAR,-0.10177366
2021-01-08,CL_FRONT_VOLUME,-0.00853191
2021-01-08,ES_FRONT_CALENDAR_2D,-0.02982685
2021-01-08,GC_FRONT_VOLUME,-0.05211206
2021-01-08,NQ_FRONT_CALENDAR_2D,-0.02456589
2021-01-08,RTY_FRONT_CALENDAR_2D,0.92704864
2021-01-08,SR3_FRONT_CALENDAR,-0.15200105
2021-01-08,UB_FRONT_VOLUME,-1.52059258
2021-01-08,ZF_FRONT_VOLUME,0.22690431
2021-01-08,ZN_FRONT_VOLUME,-0.21817847
2021-01-08,ZT_FRONT_VOLUME,0.15310248
2021-01-15,6B_FRONT_CALENDAR,-0.05161543
2021-01-15,6E_FRONT_CALENDAR,-0.11920540
2021-01-15,6J_FRONT_CALENDAR,-0.08599784
2021-01-15,CL_FRONT_VOLUME,-0.00268913
2021-01-15,ES_FRONT_CALENDAR_2D,-0.02037985
2021-01-15,GC_FRONT_VOLUME,-0.06199195
2021-01-15,NQ_FRONT_CALENDAR_2D,-0.01844819
2021-01-15,RTY_FRONT_CALENDAR_2D,0.94758544
2021-01-15,SR3_FRONT_CALENDAR,-0.14843043
2021-01-15,UB_FRONT_VOLUME,-1.55923149
2021-01-15,ZF_FRONT_VOLUME,0.17623013
2021-01-15,ZN_FRONT_VOLUME,-0.28564638
2021-01-15,ZT_FRONT_VOLUME,0.11715912
2021-01-22,6B_FRONT_CALENDAR,-0.03418363
2021-01-22,6E_FRONT_CALENDAR,-0.12009534
2021-01-22,6J_FRONT_CALENDAR,-0.07577063
2021-01-22,CL_FRONT_VOLUME,0.00320722
2021-01-22,ES_FRONT_CALENDAR_2D,-0.00816323
2021-01-22,GC_FRONT_VOLUME,-0.07580207
2021-01-22,NQ_FRONT_CALENDAR_2D,-0.01019786
2021-01-22,RTY_FRONT_CALENDAR_2D,0.96621531
2021-01-22,SR3_FRONT_CALENDAR,-0.14027609
2021-01-22,UB_FRONT_VOLUME,-1.59606583
2021-01-22,ZF_FRONT_VOLUME,0.12226855
2021-01-22,ZN_FRONT_VOLUME,-0.36124937
2021-01-22,ZT_FRONT_VOLUME,0.09333437
2021-01-29,6B_FRONT_CALENDAR,0.00691403
2021-01-29,6E_FRONT_CALENDAR,-0.12074083
2021-01-29,6J_FRONT_CALENDAR,-0.07481254
