date,multiplier,profile
2024-01-05,1.00000000,H
2024-01-12,1.00000000,H
2024-01-19,1.00000000,H
2024-01-26,1.00000000,H
2024-02-02,1.00000000,H
2024-02-09,1.00000000,H
2024-02-16,1.00000000,H
2024-02-23,1.00000000,H
2024-03-01,1.00000000,H
2024-03-08,1.00000000,H
2024-03-15,1.00000000,H
2024-03-22,1.00000000,H
2024-03-29,1.00000000,H
2024-04-05,1.00000000,H
2024-04-12,1.00000000,H
2024-04-19,1.00000000,H
2024-04-26,1.00000000,H
2024-05-03,1.00000000,H
2024-05-10,1.00000000,H
2024-05-17,1.00000000,H
2024-05-24,1.00000000,H
2024-05-31,0.91328125,H
2024-06-07,0.86126270,H
2024-06-14,0.96640882,H
2024-06-21,0.99402149,H
2024-06-28,0.99893595,H
2024-07-05,0.93418562,H
2024-07-12,0.93060823,H
2024-07-19,0.88511069,H
2024-07-26,0.88393450,H
2024-08-02,0.85603961,H
2024-08-09,0.67763742,H
2024-08-16,0.77779484,H
2024-08-23,0.95155333,H
2024-08-30,0.99137753,H
2024-09-06,0.99846539,H
2024-09-13,0.99972687,H
2024-09-20,0.99995139,H
2024-09-27,0.99999135,H
2024-10-04,0.99999846,H
2024-10-11,0.99999973,H
2024-10-18,0.99999995,H
2024-10-25,0.99999999,H
2024-11-01,1.00000000,H
2024-11-08,1.00000000,H
2024-11-15,0.93437500,H
2024-11-22,0.86501694,H
2024-11-29,0.85267269,H
2024-12-06,0.71636924,H
2024-12-13,0.94951982,H
2024-12-20,0.99101561,H
2024-12-27,0.99840097,H
