date,leverage
2024-01-05,4.00000000
2024-01-12,4.00000000
2024-01-19,4.00000000
2024-01-26,4.00000000
2024-02-02,4.00000000
2024-02-09,4.00000000
2024-02-16,4.00000000
2024-02-23,4.00000000
2024-03-01,4.00000000
2024-03-08,4.00000000
2024-03-15,1.75984336
2024-03-22,3.12185731
2024-03-29,1.88645120
2024-04-05,2.73750258
2024-04-12,2.03861983
2024-04-19,2.80435138
2024-04-26,2.22489683
2024-05-03,2.51828407
2024-05-10,2.22800988
2024-05-17,2.34501135
2024-05-24,2.41384112
2024-05-31,2.52058095
2024-06-07,2.80441962
2024-06-14,2.90782021
2024-06-21,2.64421083
2024-06-28,2.85262605
2024-07-05,2.63452234
2024-07-12,3.44943746
2024-07-19,2.50408209
2024-07-26,3.79720658
2024-08-02,2.57090784
2024-08-09,3.13305412
2024-08-16,2.82621509
2024-08-23,2.28885605
2024-08-30,1.93455293
2024-09-06,1.81437209
2024-09-13,1.77105383
2024-09-20,1.81642332
2024-09-27,1.75095314
2024-10-04,1.78916043
2024-10-11,1.86000653
2024-10-18,2.22949039
2024-10-25,2.03815351
2024-11-01,2.63850035
2024-11-08,1.96353194
2024-11-15,3.02009192
2024-11-22,2.74385424
2024-11-29,3.40448327
2024-12-06,2.92103772
2024-12-13,3.84721417
2024-12-20,2.30811476
2024-12-27,3.01078969
