,ES_FRONT_CALENDAR_2D,NQ_FRONT_CALENDAR_2D,RTY_FRONT_CALENDAR_2D,ZT_FRONT_VOLUME,ZF_FRONT_VOLUME,ZN_FRONT_VOLUME,UB_FRONT_VOLUME,SR3_FRONT_CALENDAR,CL_FRONT_VOLUME,GC_FRONT_VOLUME,6E_FRONT_CALENDAR,6B_FRONT_CALENDAR,6J_FRONT_CALENDAR
2024-01-05,0.12310877381285056,-0.013124375875322806,0.04788368060957914,1.5,1.1289179445640782,0.5580577942084827,0.18063436688030926,-0.6946323570014713,-0.2479972017477315,-0.21637421745948815,-0.7349077915296808,-0.33589407685579986,-0.36047713050843166
2024-01-12,0.17861177660333594,0.06265515959545413,0.024788891985437662,1.5,1.1852937178751097,0.5958251319554869,0.1655672511653325,-0.807710528336394,-0.2576427701842797,-0.24569070158904935,-0.6924145391089984,-0.3215109596451077,-0.3879729833176086
2024-01-19,0.2659191801330673,0.15257838511718289,0.05384407677962483,1.4999345946169882,1.120792412815384,0.5736387791140928,0.13217631489635273,-0.7888113635185912,-0.26794404490827944,-0.27047863828505375,-0.6834190544279124,-0.34747319510291924,-0.47259707354214536
2024-01-26,0.33127433509067006,0.1979380364289372,0.09060869082077468,1.4131376863153677,1.0401936419700109,0.5270862233100737,0.10869036516212971,-0.7692638258576638,-0.26148685800618554,-0.2929662576674423,-0.7142282592190309,-0.3596440176241324,-0.4962110972886613
2024-02-02,0.3682049923549046,0.22259691742126952,0.12808828369284725,1.2894827282399868,0.9530868981805155,0.48015553741012984,0.0989439757134195,-0.699317163725411,-0.2563506652561842,-0.3004925458383874,-0.7315306306590565,-0.39198865047715864,-0.4974470416002402
2024-02-09,0.4047239355443808,0.24879788713821616,0.13793242159530927,1.1704868182624384,0.8606378605142015,0.42669328172191384,0.08849511833382664,-0.6017123059953153,-0.24218543815259067,-0.3102829284488198,-0.7600932661531586,-0.3902954335844299,-0.49771061024873164
2024-02-16,0.43914291161683827,0.2670853100358877,0.15796792382427105,1.0435259988689634,0.7615318908427654,0.369469438130444,0.07502557845440141,-0.5537137033936974,-0.21354330716835476,-0.3168245316666684,-0.7854357823246149,-0.4057580835767198,-0.5042210335463859
2024-02-23,0.45025360097738154,0.2717580624993048,0.17108952655626655,0.9277042077437425,0.6623865144206889,0.31131013794797924,0.06553043564879317,-0.4350162389762123,-0.19677008707985136,-0.3151125772329796,-0.7818784081663046,-0.3808449698084135,-0.5270412515887659
2024-03-01,0.46641924802578205,0.28072362766191605,0.17837912773217088,0.8731572854058562,0.574882973961797,0.25740494512423784,0.0635640792083222,-0.32228738067061197,-0.18400409193740097,-0.2821491854984149,-0.8101295088252628,-0.3654239785560313,-0.5945680890469036
2024-03-08,0.47261655264687197,0.2664260223272877,0.1981430161399189,0.849025057476223,0.5059650119470901,0.20815505215500105,0.06014842907985981,-0.24545327783784254,-0.17488284596540934,-0.22411325334592963,-0.8789413728119493,-0.32846939823470706,-0.658835832376141
2024-03-15,0.47202499002566023,0.2414084435902529,0.23169798728151053,0.784831644859551,0.4089219258780598,0.14509259990814433,0.04972450171789567,-0.2320842992664647,-0.159167177627433,-0.14865440930283885,-0.9167080753380406,-0.29907546899433674,-0.693244718862873
2024-03-22,0.4773680926848808,0.2453864038634239,0.25149864869301736,0.675398450680227,0.29797759068007185,0.07903088615518619,0.041473701194195106,-0.2079248964334664,-0.12167318949504825,-0.10435832606543782,-0.9328699545935539,-0.3280436423818414,-0.7183534240192019
2024-03-29,0.4005066618602983,0.20047502885069074,0.3190356497034948,0.6773524716331594,0.2335465168313644,0.0230528960883463,0.06810722070240524,-0.2545570056357481,-0.11813534453240601,-0.11376679900937546,-0.8787233544431511,-0.3334332385763029,-0.6757744586974107
2024-04-05,0.38521940368512164,0.17916768271910613,0.3190212380936263,0.5704233769008664,0.15091392732260167,-0.005926176374731265,0.055222723412949266,-0.22578884524433276,-0.07106870529699924,-0.038410591904723235,-0.8797328653063134,-0.3751071807906018,-0.7138657289782562
2024-04-12,0.3604083515267448,0.15616445975284055,0.3139420025035178,0.5084657369716947,0.09974936716078814,-0.03686607602093983,0.044182178365932176,-0.1305991290810124,-0.029896550945109075,0.02049957724025433,-0.8918613207875515,-0.423979020203749,-0.7495972389247207
2024-04-19,0.33075805764815736,0.11603227938495231,0.30677655131948445,0.43993144136865997,0.04736712883524967,-0.06973996335974471,0.03392217989274145,-0.017344879725427004,0.0004326222200147778,0.0841165744901046,-0.8833584588930659,-0.4562819353731042,-0.7605926969192424
2024-04-26,0.30387360828231696,0.08445320932852148,0.3055155725285851,0.36387575062828176,-0.020362529747954272,-0.11353839862727233,0.016000220237193365,0.05900801837449486,0.03394799021319335,0.145050848116834,-0.8688748262340612,-0.4864227133246973,-0.7412498897094985
2024-05-03,0.27763442282282813,0.02551174099860657,0.30973727425904074,0.3248174308402461,-0.07156652035320617,-0.15086439127073295,0.00393839525772299,0.06871664953943414,0.06264721483438766,0.22761325272469118,-0.8769131437592372,-0.5511531197805964,-0.6640413576206424
2024-05-10,0.2533096239187525,-0.01564205175273236,0.3109177633312899,0.2901882454522221,-0.10695142294357778,-0.1771622713470447,-0.02376754258572928,0.20979827320122418,0.07620156071952094,0.2916726347375115,-0.8846126796308634,-0.6018623295518255,-0.6318224414490646
2024-05-17,0.26190106808081365,-0.05984234005601698,0.3067500130055183,0.2579124953780372,-0.14845527564756467,-0.21192687382065062,-0.058601665064097114,0.26257498156230463,0.078518346760296,0.40927827415014545,-0.8363506270849529,-0.6759322560393485,-0.6271913648182506
2024-05-24,0.2801688527007408,-0.05866519681275687,0.3069929164521856,0.14012163293707652,-0.18975494674339102,-0.22701375333028664,-0.051582063132623014,0.34157421518599984,0.06360734890883604,0.4545423876583498,-0.7784951736261084,-0.6472491738672632,-0.7005936379162098
2024-05-31,0.28772500227244047,-0.07794162561243033,0.32131237678753594,0.15580915233181178,-0.21869376062267115,-0.25294594527367636,-0.048539510755050405,0.4067336121982844,-0.007141416680233423,0.5020505231955044,-0.6947698104058321,-0.5626759930100104,-0.7341256793984711
2024-06-07,0.2987593006039721,-0.0638507969104237,0.3205404315417059,0.22616946016086678,-0.15965579110920358,-0.18785865548209785,-0.012071841761737714,0.4453025691994623,-0.08471143023547763,0.4969582696909867,-0.7348210347822833,-0.5161961823921589,-0.7695131119364467
2024-06-14,0.2836460023789977,-0.05786560448687002,0.3032576426768467,0.30411740114232955,-0.07725116270597361,-0.09515108699446606,0.02202735364279622,0.4072260293748483,-0.10776262221729185,0.48343290058754806,-0.7997446247208613,-0.5089667280223852,-0.7971663539279822
2024-06-21,0.28773762154143556,-0.03829168840770596,0.2892933823987592,0.34929846361771477,-0.014886872750806378,-0.003976137344797584,0.05741255528323802,0.31499543935195734,-0.11618510684570602,0.45669125945524086,-0.8745301398242539,-0.5186320499816763,-0.8135855018413338
2024-06-28,0.31249005434404786,-0.008678481017374895,0.2610871042976499,0.4095044241190278,0.06668339938317447,0.05910137720225532,0.07991193954680778,0.23256019499084984,-0.13283274352374713,0.42218911225555306,-0.9129849728394743,-0.5298052661392549,-0.8204473746897292
2024-07-05,0.35522114937114463,0.052688338482213465,0.21925971998987281,0.4335543997531203,0.12431806058918582,0.11878126192840022,0.08907193405012451,0.15518718217948144,-0.13170281490001298,0.3883911951633277,-0.9152148596370998,-0.5426124958876417,-0.8966595847123613
2024-07-12,0.3836607557355348,0.08065749546321493,0.1993997328192735,0.4845755480584524,0.19510833488071883,0.177686025060833,0.09760102574956239,0.007869429681702955,-0.14778740866710371,0.3561525331762483,-0.8956206426685263,-0.5298589720863599,-0.9031568077458306
2024-07-19,0.3739037605557634,0.05895045801464733,0.1995694087574044,0.5130876887481054,0.24391943430336133,0.2234942213632592,0.11099216797691677,-0.09387178253178795,-0.17401574839841427,0.33115038262979707,-0.8022675306028615,-0.4710960878405721,-0.8764007937570819
2024-07-26,0.3412071495545783,0.02353240514991336,0.20166486127825334,0.5505397950069779,0.29751486777784064,0.2651407010738254,0.10847426918490785,-0.15374199362986113,-0.19231335995080578,0.30539254788613,-0.7316849552601922,-0.42435707528824684,-0.8030700736689032
2024-08-02,0.2749221799022531,-0.017877074113131164,0.19388983274831517,0.5589123918345321,0.34490019231255686,0.3083251740868814,0.12185082914812022,-0.1697772996909292,-0.2014076636549036,0.27802361662061054,-0.6472052510539318,-0.4001534627025855,-0.6920403632753569
2024-08-09,0.21328581328987714,-0.051021188819109414,0.1713996473736079,0.5603088878750058,0.3836075493225464,0.34920157154617476,0.13462028099343526,-0.20378132795988158,-0.20202545064914681,0.25300572697630735,-0.5552582170499243,-0.3862229823987758,-0.568577951538806
