date,SR3_SPREAD_R4_R3
2020-01-06,-0.0001014147355611339
2020-01-07,-0.00020227183722099085
2020-01-08,0.00040430360989862635
2020-01-09,-0.00010136588192111162
2020-01-10,5.072279989848383e-05
2020-01-13,-6.170343946898527e-08
2020-01-14,-5.066365687533825e-05
2020-01-15,-5.0689375506784984e-05
2020-01-16,5.072279989848383e-05
2020-01-17,-5.0720227226519476e-05
2020-01-20,-0.0
2020-01-21,-5.047084417908465e-05
2020-01-22,-0.00010133765707331932
2020-01-23,1.3102015183896754e-07
2020-01-24,-0.00010122467006357105
2020-01-26,0.00015237623509944953
2020-01-27,-0.00030361789431720965
2020-01-28,5.015351659953815e-05
2020-01-29,-0.00015145228228541363
2020-01-30,5.0599605323053964e-05
2020-01-31,1.1202769363283238e-06
2020-02-02,-0.0
2020-02-03,-5.108319947944029e-05
2020-02-04,0.00015092306335573458
2020-02-05,-0.00010166079684137408
2020-02-06,0.00010120166798455177
2020-02-07,-5.020679325662414e-05
2020-02-09,0.0003040283759818685
2020-02-10,-0.0002530748595435117
2020-02-11,-0.00015223713223255775
2020-02-12,0.00015184491572606262
2020-02-13,-0.0
2020-02-14,-5.040716671755874e-05
2020-02-16,-0.0
2020-02-17,5.0609848676552716e-05
2020-02-18,-5.02893031213425e-05
2020-02-19,-3.3827037670963733e-07
2020-02-20,4.513012801243832e-07
2020-02-21,-0.00010067142939473861
2020-02-23,0.0005568492457224128
2020-02-24,-0.000556073759484077
2020-02-25,6.134212646724535e-07
2020-02-26,6.740816396177962e-07
2020-02-27,0.0003551397491350361
2020-02-28,-9.96159832082899e-05
2020-03-01,0.00045438462995561757
2020-03-02,-6.072653608857337e-07
2020-03-03,0.0003034185163837133
2020-03-04,2.0191362581911676e-08
2020-03-05,0.0003016336741115122
2020-03-06,0.0001505897841407311
2020-03-09,0.000501476847165172
2020-03-10,9.999199722543484e-05
2020-03-11,5.040681732415564e-05
2020-03-12,0.0001003861070716372
2020-03-13,-5.011771648344432e-05
2020-03-15,-0.00010002735236169791
2020-03-16,0.0001000149285884655
2020-03-17,-0.0006008411776486922
2020-03-18,0.0003501471582100235
2020-03-19,-0.0002003355463509049
2020-03-20,0.0004512958503368747
2020-03-22,0.0
2020-03-23,-5.0070098137400265e-05
2020-03-24,0.0001000700151727596
2020-03-25,-0.0002503003403484527
2020-03-26,0.0003503603851788828
2020-03-27,4.5108194957066416e-08
2020-03-30,-0.00010009007906808254
2020-03-31,5.00300140011678e-05
2020-04-01,3.757323230324516e-08
2020-04-02,5.002501025197503e-05
2020-04-03,-5.0047544165487956e-05
2020-04-06,-5.005505831023882e-05
2020-04-07,-0.0001501777036031493
2020-04-08,-0.00010009509033581665
2020-04-09,0.00010017526612848826
2020-04-12,-5.003752814625173e-05
2020-04-13,4.9974916368933364e-05
2020-04-14,0.00010012515644564068
2020-04-15,2.505132923324993e-08
2020-04-16,-1.2523157288946152e-08
2020-04-17,0.00010013516995499572
2020-04-20,7.51239026541839e-09
2020-04-21,0.0
2020-04-22,5.0035024517280924e-05
2020-04-23,0.00010009008032096922
2020-04-24,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,-0.0
2020-04-30,-5.002501225592759e-05
2020-05-01,0.0
2020-05-03,5.003252013735526e-05
2020-05-04,-5.002251012953263e-05
2020-05-05,0.00010004502050930952
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,9.995001624540922e-05
2020-05-10,0.0
2020-05-11,-5.001000200044459e-05
2020-05-12,-5.000500050011958e-05
2020-05-13,-5.000250012487939e-05
2020-05-14,5.0012503125973495e-05
2020-05-15,4.999999999999449e-05
2020-05-17,-0.0
2020-05-18,-5.003250762669609e-05
2020-05-19,-1.0006002693074834e-08
2020-05-20,-0.0
2020-05-21,5.003251713309176e-05
2020-05-22,5.001000200044459e-05
2020-05-25,-0.0
2020-05-26,-5.0027512129902085e-05
2020-05-27,-7.506379184896161e-09
2020-05-28,-5.0020008003359706e-05
2020-05-29,2.001801258089131e-08
2020-05-31,-0.0
2020-06-01,5.0022510129421605e-05
2020-06-02,-5.002000800313766e-05
2020-06-03,4.998248211440792e-05
2020-06-04,-5.003001801073825e-05
2020-06-05,0.0001500775413979527
2020-06-07,-0.0001000600360214765
2020-06-08,0.00010004752088255131
2020-06-09,-5.003001725900624e-05
2020-06-10,-5.00124971170024e-05
2020-06-11,-0.00010006503777071352
2020-06-12,5.000999574189535e-05
2020-06-15,1.0013012863296922e-08
2020-06-16,-1.0012010887017198e-08
2020-06-17,6.007807673569232e-08
2020-06-18,1.000700344810923e-08
2020-06-19,-0.0
2020-06-21,5.0020008003359706e-05
2020-06-22,-5.000249787356914e-05
2020-06-23,-5.0015004501302585e-05
2020-06-24,5.001750612709799e-05
2020-06-25,-0.0
2020-06-26,-4.997498849612647e-05
2020-06-28,-0.0
2020-06-29,5.002000175036159e-05
2020-06-30,9.999000072369313e-09
2020-07-01,-1.9996000966138183e-08
2020-07-02,-4.999500049995831e-05
2020-07-03,-1.2499375201535656e-08
2020-07-06,4.999500050006933e-05
2020-07-07,-4.999750012513182e-05
2020-07-08,5.000750112515995e-05
2020-07-09,-9.999000099991662e-05
2020-07-10,4.9990001999566935e-05
2020-07-12,5.000500050011958e-05
2020-07-13,-5.0012499125284826e-05
2020-07-14,-1.250062509061678e-08
2020-07-15,4.999750012490978e-05
2020-07-16,-4.999999999988347e-05
2020-07-17,4.998499824948599e-05
2020-07-20,1.0003001094105457e-08
2020-07-21,-4.999999999988347e-05
2020-07-22,-0.0
2020-07-23,4.999750012490978e-05
2020-07-24,-1.0002000450093362e-08
2020-07-26,5.0012503125973495e-05
2020-07-27,-0.0
