date,equity
2020-01-03,1.0
2020-01-06,1.0913944236207118
2020-01-07,1.0425770662108855
2020-01-08,1.0210120930009432
2020-01-09,1.032701547451494
2020-01-10,1.0557357827106362
2020-01-13,1.0468749123539065
2020-01-14,1.0824823763695026
2020-01-15,1.0742505712260157
2020-01-16,1.0462786644195508
2020-01-17,1.0375560953904537
2020-01-20,1.034131817847914
2020-01-21,1.097321831681294
2020-01-22,1.097321831681294
2020-01-23,1.1662190045496867
2020-01-24,1.2182575876986415
2020-01-26,1.3181147670181967
2020-01-27,1.341028539586966
2020-01-28,1.2963275882674143
2020-01-29,1.3690748078021684
2020-01-30,1.4006516310958137
2020-01-31,1.5484076625488261
2020-02-02,1.542672819354206
2020-02-03,1.483198299199232
2020-02-04,1.3042264453043142
2020-02-05,1.2539969576303485
2020-02-06,1.2049298950940945
2020-02-07,1.2865950811011995
2020-02-09,1.2596035759032713
2020-02-10,1.3346061718608249
2020-02-11,1.2864520293815436
2020-02-12,1.1965689181583645
2020-02-13,1.2268618021623747
2020-02-14,1.2621926745138898
2020-02-17,1.2621926745138898
2020-02-18,1.3325406298326434
2020-02-19,1.2792900076703122
2020-02-20,1.407734778914138
2020-02-21,1.4544187782148679
2020-02-23,1.5410749695094688
2020-02-24,1.7224115341567532
2020-02-25,1.7586077399443838
2020-02-26,1.7488623465395936
2020-02-27,1.9909516605566406
2020-02-28,2.6400202141770506
2020-03-01,2.0857618266702738
2020-03-02,1.8387929912022956
2020-03-03,2.4179431321813687
2020-03-04,2.1400268885953704
2020-03-05,2.46645399197266
2020-03-06,2.6558610073899103
2020-03-09,2.9208086800022866
2020-03-10,1.809016988904443
2020-03-11,1.881455980884387
2020-03-12,2.7172346011960653
2020-03-13,2.3851281499384824
2020-03-15,4.366973762447927
2020-03-16,4.366973762447927
2020-03-17,-0.39319495562346185
2020-03-18,-0.48150612212717364
2020-03-19,-0.5041410253041296
2020-03-20,-0.6273754981562019
2020-03-22,-0.7170005693214281
2020-03-23,-0.8962507116517533
2020-03-24,-0.24267711577030326
2020-03-25,-0.2566146528246885
2020-03-26,-0.3822673448975055
2020-03-27,-0.7921987739651924
2020-03-30,-1.6548152167274643
2020-03-31,-0.992889130036955
2020-04-01,-1.281729604229261
2020-04-02,-1.815783605991352
2020-04-03,-1.0894701635948114
2020-04-06,-0.44696211839779815
2020-04-07,-0.29797474559856735
2020-04-08,-0.27669083519868476
2020-04-09,-0.2895005960875516
2020-04-13,-0.2964933641089098
2020-04-14,-0.4052075976155672
2020-04-15,-0.5525558149302904
2020-04-16,-0.2916266801021705
2020-04-17,-0.3989140874976696
2020-04-20,-0.5290411427775421
2020-04-21,-0.6965708379904721
2020-04-22,-1.097626775015245
2020-04-23,-1.280564570851352
2020-04-24,-1.280564570851352
2020-04-26,-1.1641496098646549
2020-04-27,-0.8315354356174082
2020-04-28,-1.205726381645447
2020-04-29,-1.004771984704444
2020-04-30,-1.0334797556957072
2020-05-01,-1.2213851658225392
2020-05-03,-1.2213851658225392
2020-05-04,-1.2213851658225392
2020-05-05,-1.0469015707046796
2020-05-06,-0.4711057068173178
2020-05-07,1.1777642670432944
2020-05-08,-2.7481166231006484
2020-05-12,3.358809206012193
2020-05-14,10.076427618055671
2020-05-15,17.913649098750255
2020-05-17,21.1706762076152
2020-05-18,-28.227568276820264
2020-05-20,-89.02540764243595
2020-05-21,80.93218876583623
2020-05-25,73.57471705985873
2020-05-26,220.7241511799944
2020-05-27,-3.1366788445551834e-10
2020-05-28,-2.1956751911904112e-09
2020-05-29,2.0127022585913834e-09
2020-06-02,-2.1956751911904104e-09
2020-06-04,-2.7707329793583163e-09
2020-06-05,-7.520560943973215e-09
2020-06-07,-7.520560943973215e-09
2020-06-08,-8.176199590370341e-09
2020-06-09,-4.015098013128313e-09
2020-06-10,2.676732008754232e-10
2020-06-11,4.3239517064507754e-10
2020-06-12,6.005488481180723e-10
2020-06-15,5.046628975768074e-11
2020-06-16,5.046628975768074e-11
2020-06-17,1.4018413821616499e-11
2020-06-18,1.5096753346355287e-11
2020-06-19,-1.3838690567493538e-11
2020-06-23,1.9665962110328703e-23
2020-06-24,6.09644825421291e-23
2020-06-25,5.41906511485656e-23
2020-06-26,2.9262951620209717e-22
2020-06-29,4.389442743030072e-22
2020-06-30,5.643569241041209e-22
2020-07-01,-8.465353861531132e-23
2020-07-02,-1.4028300684812864e-22
2020-07-03,-1.0020214774869585e-22
2020-07-06,-7.932670030110478e-23
2020-07-07,-1.110573804215106e-22
2020-07-08,-1.8509563403588607e-22
2020-07-09,-1.8509563403588607e-22
2020-07-10,-1.1237949209308068e-22
2020-07-12,-1.2642692860474072e-22
2020-07-13,-1.4448791840545462e-22
2020-07-14,-3.6121979601376486e-23
2020-07-15,-2.7693517694396966e-23
2020-07-16,-3.8770924772143156e-23
2020-07-17,-8.615761060468092e-24
2020-07-20,-1.809309822698838e-23
2020-07-21,-2.211378672187088e-23
2020-07-22,-2.211378672187088e-23
2020-07-23,-2.4325165394056084e-23
2020-07-24,-2.1622369239163523e-23
2020-07-27,-9.26672967393726e-24
2020-07-28,-1.3900094510900886e-23
2020-07-29,-7.722274728284122e-24
2020-07-30,-1.8533459347878824e-23
2020-07-31,-2.780018902180836e-23
2020-08-02,-2.432516539408602e-23
2020-08-03,-1.9460132315272966e-23
2020-08-04,-1.5135658467438627e-23
2020-08-05,-3.783914616861001e-24
2020-08-06,-2.9430447020026023e-24
2020-08-07,1.7658268212029e-24
2020-08-10,-1.7658268212029e-24
2020-08-12,-1.6052971101846206e-24
2020-08-13,-3.0768194611884568e-24
2020-08-14,-7.889280669706346e-25
2020-08-16,-8.452800717542055e-25
2020-08-17,-8.452800717542055e-25
2020-08-18,-4.226400358774031e-25
2020-08-19,-4.226400358774031e-25
2020-08-20,-1.7339078394994236e-25
2020-08-21,-1.589415519541275e-25
2020-08-23,-1.589415519541275e-25
2020-08-24,-4.768246558619308e-25
2020-08-25,-6.785581641117495e-25
2020-08-26,-9.499814297561407e-25
2020-08-27,-1.9678186759233792e-24
2020-08-28,6.727585216886747e-26
2020-08-30,6.727585216886747e-26
