date,vix,vvix,vx1,vvix_vix_spread,signal,position,vx1_return,pnl
2020-01-06,13.85,92.66,14.88,78.81,0.0,0.0,-0.010030174359937138,0.0
2020-01-07,13.79,91.07,14.68,77.28,0.0,0.0,-0.01353200621857642,0.0
2020-01-08,13.45,90.21,14.18,76.75999999999999,0.0,0.0,-0.034653502082388155,0.0
2020-01-09,12.54,87.81,13.63,75.27000000000001,0.0,0.0,-0.03955927539554027,0.0
2020-01-10,12.56,88.33,13.58,75.77,0.0,0.0,-0.0036751235778913482,0.0
2020-01-13,12.32,88.48,13.18,76.16,0.0,0.0,-0.029897593056188665,0.0
2020-01-14,12.39,86.87,13.08,74.48,0.0,0.0,-0.007616183045308755,0.0
2020-01-15,12.42,91.15,12.93,78.73,0.0,0.0,-0.011534153245286394,0.0
2020-01-16,12.32,90.38,12.58,78.06,0.0,0.0,-0.0274419415114715,0.0
2020-01-17,12.1,91.75,12.53,79.65,0.0,0.0,-0.00398248236431753,0.0
2020-01-21,12.85,92.98,12.93,80.13000000000001,0.0,0.0,0.03142442387578903,-0.0
2020-01-22,12.91,91.11,15.18,78.2,0.0,0.0,0.1604285791837179,-0.0
2020-01-23,12.98,92.54,15.03,79.56,0.0,0.0,-0.009930568202600742,0.0
2020-01-24,14.56,98.43,16.03,83.87,0.0,0.0,0.0644137628565784,-0.0
2020-01-27,18.23,107.39,17.78,89.16,-1.0,0.0,0.10361226346429708,-0.0
2020-01-28,16.28,102.11,16.68,85.83,-1.0,-1.0,-0.0638638331551582,-0.0638638331551582
2020-01-29,16.39,99.07,16.68,82.67999999999999,0.0,-1.0,0.0,0.0
2020-01-30,15.49,96.49,16.08,81.0,0.0,0.0,-0.03663413317978037,0.0
2020-01-31,18.84,105.6,18.23,86.75999999999999,-1.0,0.0,0.1254923249397515,-0.0
2020-02-03,17.97,102.95,17.98,84.98,-1.0,-1.0,-0.013808559647097152,-0.013808559647097152
2020-02-04,16.05,96.18,16.53,80.13000000000001,0.0,-1.0,-0.0840831172105414,-0.0840831172105414
2020-02-05,15.15,92.82,15.73,77.66999999999999,0.0,0.0,-0.049607194762746776,0.0
2020-02-06,14.96,93.61,15.58,78.65,0.0,0.0,-0.009581676627584024,0.0
2020-02-07,15.47,96.01,16.03,80.54,0.0,0.0,0.028473926178859355,-0.0
2020-02-10,15.04,96.81,15.63,81.77000000000001,0.0,0.0,-0.025269822188076496,0.0
2020-02-11,15.18,96.96,15.63,81.78,0.0,0.0,0.0,-0.0
2020-02-12,13.74,96.65,14.48,82.91000000000001,0.0,0.0,-0.07642375747581465,0.0
2020-02-13,14.15,99.17,14.83,85.02,0.0,0.0,0.02388376919227042,-0.0
2020-02-14,13.68,98.17,14.43,84.49000000000001,0.0,0.0,-0.027342783364061596,0.0
2020-02-18,14.83,101.02,14.88,86.19,-1.0,0.0,0.030708656619166774,-0.0
2020-02-19,14.38,95.92,15.38,81.54,0.0,-1.0,0.033049934672551906,0.033049934672551906
2020-02-20,15.56,99.48,16.08,83.92,0.0,0.0,0.04450829967332215,-0.0
2020-02-21,17.08,104.86,16.93,87.78,-1.0,0.0,0.051510932394223996,-0.0
2020-02-24,25.03,112.72,20.08,87.69,-1.0,-1.0,0.1706370986784842,0.1706370986784842
2020-02-25,27.85,121.01,22.23,93.16,-1.0,-1.0,0.10171843315257689,0.10171843315257689
2020-02-26,27.56,113.44,22.33,85.88,-1.0,-1.0,0.004488337875961257,0.004488337875961257
2020-02-27,39.16,118.0,26.28,78.84,-1.0,-1.0,0.1628771277643435,0.1628771277643435
2020-02-28,40.11,125.73,26.33,85.62,-1.0,-1.0,0.0019007798918080354,0.0019007798918080354
2020-03-02,33.42,114.69,26.28,81.27,-1.0,-1.0,-0.0019007798918080354,-0.0019007798918080354
2020-03-03,36.82,116.72,29.18,79.9,-1.0,-1.0,0.10467534947822976,0.10467534947822976
2020-03-04,31.99,113.97,27.43,81.98,-1.0,-1.0,-0.061846238145127685,-0.061846238145127685
2020-03-05,39.62,119.66,31.88,80.03999999999999,-1.0,-1.0,0.15034154897250218,0.15034154897250218
2020-03-06,41.94,127.16,35.78,85.22,-1.0,-1.0,0.11541022415855906,0.11541022415855906
2020-03-09,54.46,137.19,44.38,82.72999999999999,-1.0,-1.0,0.21539983942387453,0.21539983942387453
2020-03-10,47.3,138.82,41.83,91.52,-1.0,-1.0,-0.05917513205034064,-0.05917513205034064
2020-03-11,53.9,146.93,46.35,93.03,-1.0,-1.0,0.10260750655775697,0.10260750655775697
2020-03-12,75.47,155.05,58.3,79.58000000000001,-1.0,-1.0,0.22938080134458216,0.22938080134458216
2020-03-13,57.83,171.28,53.43,113.45,-1.0,-1.0,-0.08722970738676628,-0.08722970738676628
2020-03-16,82.69,207.59,72.63,124.9,-1.0,-1.0,0.30700567364839637,0.30700567364839637
2020-03-17,75.91,194.43,68.83,118.52000000000001,-1.0,-1.0,-0.05373836320780345,-0.05373836320780345
2020-03-18,76.45,181.33,70.48,104.88000000000001,-1.0,-1.0,0.023689285217651346,0.023689285217651346
2020-03-19,72.0,181.76,66.3,109.75999999999999,-1.0,-1.0,-0.061139084436107716,-0.061139084436107716
2020-03-20,66.04,187.18,61.53,121.14,-1.0,-1.0,-0.07466503643941724,-0.07466503643941724
2020-03-23,61.59,167.93,49.45,106.34,-1.0,-1.0,-0.21856280268367811,-0.21856280268367811
2020-03-24,61.67,171.91,48.25,110.24,-1.0,-1.0,-0.024566230283726398,-0.024566230283726398
2020-03-25,63.95,171.89,51.28,107.93999999999998,-1.0,-1.0,0.060904984827419906,0.060904984827419906
2020-03-26,61.0,169.58,45.88,108.58000000000001,-1.0,-1.0,-0.11127152035124466,-0.11127152035124466
2020-03-27,65.54,168.71,53.43,103.17,-1.0,-1.0,0.15234309370850996,0.15234309370850996
2020-03-30,57.08,157.66,49.78,100.58,-1.0,-1.0,-0.07075908903023409,-0.07075908903023409
2020-03-31,53.54,152.92,46.78,99.38,-1.0,-1.0,-0.062157535783412765,-0.062157535783412765
2020-04-01,57.06,156.99,51.33,99.93,-1.0,-1.0,0.09281961541617845,0.09281961541617845
2020-04-02,50.91,147.33,47.18,96.42000000000002,-1.0,-1.0,-0.08430530259268254,-0.08430530259268254
2020-04-03,46.8,143.52,44.93,96.72000000000001,-1.0,-1.0,-0.04886435089746044,-0.04886435089746044
2020-04-06,45.24,143.3,41.78,98.06,-1.0,-1.0,-0.07268796695364887,-0.07268796695364887
2020-04-07,46.7,134.45,44.03,87.74999999999999,-1.0,-1.0,0.05245346363924286,0.05245346363924286
2020-04-08,43.35,141.37,42.38,98.02000000000001,-1.0,-1.0,-0.0381946669275095,-0.0381946669275095
2020-04-09,41.67,137.75,41.28,96.08,-1.0,-1.0,-0.02629843166684598,-0.02629843166684598
2020-04-13,41.17,138.68,40.58,97.51,-1.0,-1.0,-0.017102786775638368,-0.017102786775638368
2020-04-14,37.76,131.78,37.88,94.02000000000001,-1.0,-1.0,-0.06885206607979111,-0.06885206607979111
2020-04-15,40.84,135.93,36.58,95.09,-1.0,-1.0,-0.03492162535515808,-0.03492162535515808
2020-04-16,40.11,129.55,36.53,89.44000000000001,-1.0,-1.0,-0.0013678021555283415,-0.0013678021555283415
2020-04-17,38.15,127.15,34.58,89.0,-1.0,-1.0,-0.05485836055204674,-0.05485836055204674
2020-04-20,43.83,132.04,39.08,88.21,-1.0,-1.0,0.12233534691943726,0.12233534691943726
2020-04-21,45.41,132.22,41.78,86.81,-1.0,-1.0,0.066806928953838,0.066806928953838
2020-04-22,41.98,124.1,39.63,82.12,-1.0,-1.0,-0.05283134892607588,-0.05283134892607588
2020-04-23,41.38,121.86,39.73,80.47999999999999,-1.0,-1.0,0.0025201626241635466,0.0025201626241635466
2020-04-24,35.93,119.88,36.78,83.94999999999999,-1.0,-1.0,-0.07715235065033221,-0.07715235065033221
2020-04-27,33.29,120.56,33.88,87.27000000000001,-1.0,-1.0,-0.08212934939232142,-0.08212934939232142
2020-04-28,33.57,117.79,34.18,84.22,-1.0,-1.0,0.008815807903590933,0.008815807903590933
2020-04-29,31.23,115.98,31.93,84.75,-1.0,-1.0,-0.06809467096075394,-0.06809467096075394
2020-04-30,34.15,118.53,33.98,84.38,-1.0,-1.0,0.062226109517095285,0.062226109517095285
2020-05-01,37.19,122.15,37.35,84.96000000000001,-1.0,-1.0,0.09456079533504047,0.09456079533504047
2020-05-04,35.97,121.25,35.68,85.28,-1.0,-1.0,-0.045742603867017895,-0.045742603867017895
2020-05-05,33.61,118.87,34.03,85.26,-1.0,-1.0,-0.04734781919899422,-0.04734781919899422
2020-05-06,34.12,119.16,34.78,85.03999999999999,-1.0,-1.0,0.021800020413322407,0.021800020413322407
2020-05-07,31.44,115.83,32.13,84.39,-1.0,-1.0,-0.07925233579836943,-0.07925233579836943
2020-05-08,27.98,115.65,29.33,87.67,-1.0,-1.0,-0.09117929013840786,-0.09117929013840786
2020-05-11,27.57,118.71,27.83,91.13999999999999,-1.0,-1.0,-0.05249630745156031,-0.05249630745156031
2020-05-12,33.04,130.75,33.08,97.71000000000001,-1.0,-1.0,0.17281429461769138,0.17281429461769138
2020-05-13,35.28,142.75,35.08,107.47,-1.0,-1.0,0.05870229734849186,0.05870229734849186
2020-05-14,32.61,137.05,32.38,104.44000000000001,-1.0,-1.0,-0.08009021925449344,-0.08009021925449344
2020-05-15,31.89,133.02,32.13,101.13000000000001,-1.0,-1.0,-0.00775077512172162,-0.00775077512172162
2020-05-18,29.3,125.9,28.93,96.60000000000001,-1.0,-1.0,-0.10491105413972379,-0.10491105413972379
2020-05-19,30.53,125.6,30.75,95.07,-1.0,-1.0,0.06101087526448312,0.06101087526448312
2020-05-20,27.99,120.04,29.78,92.05000000000001,-1.0,-1.0,-0.03205296699666382,-0.03205296699666382
2020-05-21,29.53,122.08,31.03,92.55,-1.0,-1.0,0.041117451204426114,0.041117451204426114
2020-05-22,28.16,118.38,30.38,90.22,-1.0,-1.0,-0.021169981292662232,-0.021169981292662232
2020-05-26,28.01,113.59,29.63,85.58,-1.0,-1.0,-0.024997135582152996,-0.024997135582152996
2020-05-27,27.62,109.82,29.08,82.19999999999999,-1.0,-1.0,-0.01873670892015511,-0.01873670892015511
2020-05-28,28.59,108.99,30.33,80.39999999999999,-1.0,-1.0,0.04208666903517111,0.04208666903517111
2020-05-29,27.51,105.6,28.83,78.08999999999999,-1.0,-1.0,-0.05072081005017903,-0.05072081005017903
2020-06-01,28.23,106.47,29.53,78.24,-1.0,-1.0,0.023990184105520562,0.023990184105520562
2020-06-02,26.84,104.83,28.23,77.99,-1.0,-1.0,-0.045021453490433405,-0.045021453490433405
2020-06-03,25.66,106.85,27.0,81.19,-1.0,-1.0,-0.04454837626106878,-0.04454837626106878
2020-06-04,25.81,109.88,26.73,84.07,-1.0,-1.0,-0.010050335853501569,-0.010050335853501569
2020-06-05,24.52,107.59,25.33,83.07000000000001,-1.0,-1.0,-0.053797066137243554,-0.053797066137243554
2020-06-08,25.81,110.05,26.03,84.24,-1.0,-1.0,0.027260254992889976,0.027260254992889976
2020-06-09,27.57,111.0,27.63,83.43,-1.0,-1.0,0.059652419928851064,0.059652419928851064
2020-06-10,27.57,116.53,27.48,88.96000000000001,-1.0,-1.0,-0.005443671581176535,-0.005443671581176535
2020-06-11,40.79,146.84,40.63,106.05000000000001,-1.0,-1.0,0.3910482426454869,0.3910482426454869
2020-06-12,36.09,151.6,35.08,115.50999999999999,-1.0,-1.0,-0.14687554249565293,-0.14687554249565293
2020-06-15,34.4,141.83,33.9,107.43,-1.0,-1.0,-0.034216153117577974,-0.034216153117577974
2020-06-16,33.67,143.24,33.1,109.57000000000001,-1.0,-1.0,-0.023881732003387057,-0.023881732003387057
2020-06-17,33.47,139.94,33.63,106.47,-1.0,-1.0,0.01588524336916075,0.01588524336916075
2020-06-18,32.94,135.29,33.58,102.35,-1.0,-1.0,-0.001487874102783504,-0.001487874102783504
2020-06-19,35.12,138.35,35.28,103.22999999999999,-1.0,-1.0,0.04938557948919575,0.04938557948919575
2020-06-22,31.77,133.98,31.63,102.21,-1.0,-1.0,-0.10921019382103303,-0.10921019382103303
2020-06-23,31.37,130.73,31.93,99.35999999999999,-1.0,-1.0,0.009439969409133386,0.009439969409133386
2020-06-24,33.84,136.89,33.58,103.04999999999998,-1.0,-1.0,0.05038464492270389,0.05038464492270389
2020-06-25,32.22,127.2,32.18,94.98,-1.0,-1.0,-0.04258551008515754,-0.04258551008515754
2020-06-26,34.73,128.63,34.53,93.9,-1.0,-1.0,0.0704833698376639,0.0704833698376639
2020-06-29,31.78,121.32,32.33,89.53999999999999,-1.0,-1.0,-0.06583291966455951,-0.06583291966455951
2020-06-30,30.43,120.76,30.88,90.33000000000001,-1.0,-1.0,-0.04588686658076613,-0.04588686658076613
2020-07-01,28.62,120.83,29.83,92.21,-1.0,-1.0,-0.03459412662991834,-0.03459412662991834
2020-07-02,27.68,115.47,29.08,87.78999999999999,-1.0,-1.0,-0.025463945861338377,-0.025463945861338377
2020-07-06,27.94,116.57,29.25,88.63,-1.0,-1.0,0.005828921012546839,0.005828921012546839
2020-07-07,29.43,118.12,30.58,88.69,-1.0,-1.0,0.04446662682305069,0.04446662682305069
2020-07-08,28.08,113.34,29.53,85.26,-1.0,-1.0,-0.03493950474508489,-0.03493950474508489
2020-07-09,29.26,115.11,30.23,85.85,-1.0,-1.0,0.023428113035535603,0.023428113035535603
2020-07-10,27.29,109.71,28.78,82.41999999999999,-1.0,-1.0,-0.04915410733214509,-0.04915410733214509
2020-07-13,32.19,123.3,31.83,91.11,-1.0,-1.0,0.1007285398347797,0.1007285398347797
2020-07-14,29.52,112.75,29.63,83.23,-1.0,-1.0,-0.07162187970852774,-0.07162187970852774
2020-07-15,27.76,113.71,28.33,85.94999999999999,-1.0,-1.0,-0.044866047743048476,-0.044866047743048476
2020-07-16,28.0,115.62,28.13,87.62,-1.0,-1.0,-0.007084691340659699,-0.007084691340659699
2020-07-17,25.68,117.97,26.43,92.28999999999999,-1.0,-1.0,-0.06233689388556796,-0.06233689388556796
2020-07-20,24.46,112.51,24.73,88.05000000000001,-1.0,-1.0,-0.06648264708287277,-0.06648264708287277
2020-07-21,24.84,115.46,24.78,90.61999999999999,-1.0,-1.0,0.0020197946676714373,0.0020197946676714373
2020-07-22,24.32,112.84,27.25,88.52000000000001,-1.0,-1.0,0.09501664490825679,0.09501664490825679
2020-07-23,26.08,116.7,28.78,90.62,-1.0,-1.0,0.05462718034996872,0.05462718034996872
2020-07-24,25.84,117.22,28.73,91.38,-1.0,-1.0,-0.0017388284680235344,-0.0017388284680235344
2020-07-27,24.74,112.71,27.53,87.97,-1.0,-1.0,-0.042665553836682246,-0.042665553836682246
2020-07-28,25.44,113.88,27.53,88.44,-1.0,-1.0,0.0,0.0
2020-07-29,24.1,110.95,26.78,86.85,-1.0,-1.0,-0.0276209788914894,-0.0276209788914894
2020-07-30,24.76,112.16,27.18,87.39999999999999,-1.0,-1.0,0.01482606845997081,0.01482606845997081
2020-07-31,24.46,112.04,26.83,87.58000000000001,-1.0,-1.0,-0.012960744285464898,-0.012960744285464898
2020-08-03,24.28,111.02,26.78,86.74,-1.0,-1.0,-0.0018653241745059113,-0.0018653241745059113
2020-08-04,23.76,109.0,25.88,85.24,-1.0,-1.0,-0.034184870630326714,-0.034184870630326714
2020-08-05,22.99,105.67,25.33,82.68,-1.0,-1.0,-0.021481005619115923,-0.021481005619115923
2020-08-06,22.65,105.84,24.88,83.19,-1.0,-1.0,-0.017925196142605238,-0.017925196142605238
2020-08-07,22.21,108.18,24.63,85.97,-1.0,-1.0,-0.010099055738532314,-0.010099055738532314
2020-08-10,22.13,111.13,23.78,89.0,-1.0,-1.0,-0.03512032086981076,-0.03512032086981076
2020-08-11,24.03,118.34,24.93,94.31,-1.0,-1.0,0.04722700627283061,0.04722700627283061
2020-08-12,22.28,115.73,23.28,93.45,-1.0,-1.0,-0.06847727467222908,-0.06847727467222908
2020-08-13,22.13,115.18,23.23,93.05000000000001,-1.0,-1.0,-0.0021500760809192165,-0.0021500760809192165
2020-08-14,22.05,114.35,23.28,92.3,-1.0,-1.0,0.0021500760809192165,0.0021500760809192165
2020-08-17,21.35,110.35,21.78,89.0,-1.0,-1.0,-0.06660250535842271,-0.06660250535842271
2020-08-18,21.51,112.59,21.78,91.08,-1.0,-1.0,0.0,0.0
2020-08-19,22.54,114.72,26.23,92.18,-1.0,-1.0,0.18591167637396788,0.18591167637396788
2020-08-20,22.72,112.99,25.88,90.27,-1.0,-1.0,-0.013433324246082456,-0.013433324246082456
2020-08-21,22.54,111.25,25.93,88.71000000000001,-1.0,-1.0,0.0019301299178731135,0.0019301299178731135
2020-08-24,22.37,108.25,25.83,85.88,-1.0,-1.0,-0.0038639924428238714,-0.0038639924428238714
2020-08-25,22.03,103.88,25.48,81.85,-1.0,-1.0,-0.013642776403786527,-0.013642776403786527
2020-08-26,23.27,105.8,26.08,82.53,-1.0,-1.0,0.023274906354489477,0.023274906354489477
2020-08-27,24.47,114.74,27.03,90.27,-1.0,-1.0,0.035778623229904216,0.035778623229904216
2020-08-28,22.96,111.56,26.95,88.6,-1.0,-1.0,-0.0029640629333500534,-0.0029640629333500534
2020-08-31,26.41,119.01,27.88,92.60000000000001,-1.0,-1.0,0.03392628853731683,0.03392628853731683
2020-09-01,26.12,120.1,28.33,93.97999999999999,-1.0,-1.0,0.016011727950102195,0.016011727950102195
2020-09-02,26.57,122.01,28.88,95.44,-1.0,-1.0,0.019228000182200056,0.019228000182200056
2020-09-03,33.6,132.91,33.88,99.31,-1.0,-1.0,0.15967555575922843,0.15967555575922843
2020-09-04,30.75,122.14,29.65,91.39,-1.0,-1.0,-0.1333627443401193,-0.1333627443401193
2020-09-08,31.46,123.56,30.23,92.1,-1.0,-1.0,0.019372683347632424,0.019372683347632424
2020-09-09,28.81,121.54,28.38,92.73,-1.0,-1.0,-0.06315013705947026,-0.06315013705947026
2020-09-10,29.71,120.58,28.78,90.87,-1.0,-1.0,0.013996029727325165,0.013996029727325165
2020-09-11,26.87,113.95,26.33,87.08,-1.0,-1.0,-0.08897172795100383,-0.08897172795100383
2020-09-14,25.85,111.27,25.73,85.41999999999999,-1.0,-1.0,-0.023051347214565254,-0.023051347214565254
2020-09-15,25.59,108.97,25.38,83.38,-1.0,-1.0,-0.013696164007411138,-0.013696164007411138
2020-09-16,26.04,103.48,30.53,77.44,-1.0,-1.0,0.1847483444605449,0.1847483444605449
2020-09-17,26.46,100.37,29.83,73.91,-1.0,-1.0,-0.023195208220129437,-0.023195208220129437
2020-09-18,25.83,101.19,30.08,75.36,-1.0,-1.0,0.008345900554981966,0.008345900554981966
2020-09-21,27.78,108.74,31.23,80.96,-1.0,-1.0,0.03751867221334804,0.03751867221334804
2020-09-22,26.86,104.69,31.38,77.83,-1.0,-1.0,0.004791576009899323,0.004791576009899323
2020-09-23,28.58,107.35,32.48,78.77,-1.0,-1.0,0.03445376798859057,0.03445376798859057
2020-09-24,28.51,102.26,32.23,73.75,-1.0,-1.0,-0.007726819466130408,-0.007726819466130408
2020-09-25,26.38,99.64,31.23,73.26,0.0,-1.0,-0.03151852453235948,-0.03151852453235948
2020-09-28,26.19,101.85,30.83,75.66,-1.0,0.0,-0.01289092939692793,0.0
2020-09-29,26.27,96.93,29.78,70.66000000000001,0.0,-1.0,-0.034651214642196226,-0.034651214642196226
2020-09-30,26.37,101.58,30.38,75.21,-1.0,0.0,0.019947469911763882,-0.0
2020-10-01,26.7,101.0,30.68,74.3,-1.0,-1.0,0.009826479331428661,0.009826479331428661
2020-10-02,27.63,102.72,32.08,75.09,-1.0,-1.0,0.04462180649925829,0.04462180649925829
