date,vix,rv5,vx1,vx1_return,alt_vrp,signal,position,pnl
2020-01-08,13.45,19.25228018226898,14.18,-0.034653502082388155,-5.80228018226898,0.0,-1.0,-0.034653502082388155
2020-01-09,12.54,18.019252302954158,13.63,-0.03955927539554027,-5.479252302954158,0.0,0.0,0.0
2020-01-10,12.56,18.20085699584088,13.58,-0.0036751235778913482,-5.640856995840879,0.0,0.0,0.0
2020-01-13,12.32,13.414302633779199,13.18,-0.029897593056188665,-1.0943026337791988,0.0,0.0,0.0
2020-01-14,12.39,8.938791631683499,13.08,-0.007616183045308755,3.451208368316502,-1.0,0.0,0.0
2020-01-15,12.42,9.104707395733435,12.93,-0.011534153245286394,3.315292604266565,-1.0,-1.0,-0.011534153245286394
2020-01-16,12.32,8.228959727106531,12.58,-0.0274419415114715,4.091040272893469,-1.0,-1.0,-0.0274419415114715
2020-01-17,12.1,8.21935937623915,12.53,-0.00398248236431753,3.880640623760849,-1.0,-1.0,-0.00398248236431753
2020-01-21,12.85,5.211315818547702,12.93,0.03142442387578903,7.638684181452297,-1.0,-1.0,0.03142442387578903
2020-01-22,12.91,2.338467168708898,15.18,0.1604285791837179,10.571532831291101,-1.0,-1.0,0.1604285791837179
2020-01-23,12.98,4.3545343433392825,15.03,-0.009930568202600742,8.625465656660719,-1.0,-1.0,-0.009930568202600742
2020-01-24,14.56,9.611553279245754,16.03,0.0644137628565784,4.948446720754246,-1.0,-1.0,0.0644137628565784
2020-01-27,18.23,10.608307158245498,17.78,0.10361226346429708,7.621692841754502,-1.0,-1.0,0.10361226346429708
2020-01-28,16.28,14.247892381660495,16.68,-0.0638638331551582,2.0321076183395057,-1.0,-1.0,-0.0638638331551582
2020-01-29,16.39,12.985645299257515,16.68,0.0,3.404354700742486,-1.0,-1.0,0.0
2020-01-30,15.49,11.479233132375219,16.08,-0.03663413317978037,4.010766867624781,-1.0,-1.0,-0.03663413317978037
2020-01-31,18.84,16.988942426953205,18.23,0.1254923249397515,1.8510575730467949,-1.0,-1.0,0.1254923249397515
2020-02-03,17.97,15.447469949620066,17.98,-0.013808559647097152,2.522530050379933,-1.0,-1.0,-0.013808559647097152
2020-02-04,16.05,20.23606674098683,16.53,-0.0840831172105414,-4.186066740986828,0.0,-1.0,-0.0840831172105414
2020-02-05,15.15,21.68194857256702,15.73,-0.049607194762746776,-6.531948572567019,0.0,0.0,0.0
2020-02-06,14.96,10.098946721293789,15.58,-0.009581676627584024,4.861053278706212,-1.0,0.0,0.0
2020-02-07,15.47,14.666693819117032,16.03,0.028473926178859355,0.8033061808829682,-1.0,-1.0,0.028473926178859355
2020-02-10,15.04,14.36477839045716,15.63,-0.025269822188076496,0.6752216095428398,-1.0,-1.0,-0.025269822188076496
2020-02-11,15.18,12.126025241149135,15.63,0.0,3.053974758850865,-1.0,-1.0,0.0
2020-02-12,13.74,11.901230489290267,14.48,-0.07642375747581465,1.8387695107097333,-1.0,-1.0,-0.07642375747581465
2020-02-13,14.15,8.955775850322588,14.83,0.02388376919227042,5.194224149677412,-1.0,-1.0,0.02388376919227042
2020-02-14,13.68,7.070705975310819,14.43,-0.027342783364061596,6.609294024689181,-1.0,-1.0,-0.027342783364061596
